bleached_k4_01	bleached_k4_02	bleached_k4_03	non-bleached_k4_01	non-bleached_k4_02	non-bleached_k4_03
TRINITY_GG_36893_c0_g1	1.49922843287784	0.524421964384977	0.725940303671162	-0.916530233644659	-0.916530233644659	-0.916530233644659
TRINITY_GG_57579_c1_g3	0.718245100630178	0.69244909975284	0.836408939106396	-0.749034379829805	-0.749034379829805	-0.749034379829805
TRINITY_GG_29710_c0_g1	0.730309258616816	1.43300054965486	0.614565020260746	-0.925958276177473	-0.925958276177473	-0.925958276177473
TRINITY_GG_3559_c0_g1	0.747803235164987	1.17558240333541	0.730009302503175	-0.884464980334525	-0.884464980334525	-0.884464980334525
TRINITY_GG_85747_c2_g1	0.528195027086704	0.839244100917944	1.53812975454077	-0.968522960848473	-0.968522960848473	-0.968522960848473
TRINITY_GG_16437_c0_g1	0.666179313121939	1.03243542298776	0.925904783925158	-0.87483984001162	-0.87483984001162	-0.87483984001162
TRINITY_GG_33392_c2_g2	1.51197420485547	1.61259062504515	1.84206806673862	-1.65554429887974	-1.65554429887974	-1.65554429887974
TRINITY_GG_85322_c0_g1	-1.1407683688658	-1.1407683688658	-1.1407683688658	0.961889762497935	0.817517532057453	1.64289781204202
TRINITY_GG_15065_c132_g2	-1.01607381251468	-1.01607381251468	-1.01607381251468	1.36299258676622	0.933647865055162	0.751580985722664
TRINITY_GG_19640_c105_g1	-0.777202198771573	-0.777202198771573	-0.777202198771573	1.18442112951537	0.884547401039131	0.262638065760218
TRINITY_GG_26318_c30_g1	1.1408945314124	1.62078841942191	1.60357639182534	-1.45508644755322	-1.45508644755322	-1.45508644755322
TRINITY_GG_41953_c0_g1	-0.741910514159588	-0.741910514159588	-0.741910514159588	0.9695843924905	0.350973451518897	0.905173698469366
TRINITY_GG_99295_c2_g1	1.58314200003021	0.407967797391038	0.90551385695966	-0.96554121812697	-0.96554121812697	-0.96554121812697
TRINITY_GG_39736_c0_g1	-1.32274829114151	-1.32274829114151	-1.32274829114151	1.85069899491575	1.22741360330592	0.890132275202871
TRINITY_GG_77554_c74_g1	2.17827334292192	-0.230625930428909	1.51995009525595	-1.15586583591632	-1.15586583591632	-1.15586583591632
TRINITY_GG_58804_c2_g1	0.488843338607832	0.661083903633067	1.21035197994616	-0.786759740729018	-0.786759740729018	-0.786759740729018
TRINITY_GG_12692_c55_g1	-0.883983389526789	-0.883983389526789	-0.883983389526789	1.13108593219086	-0.0011447337595385	1.52200897014905
TRINITY_GG_76820_c1_g1	-1.22858064696351	-1.22858064696351	-1.22858064696351	1.75983137876128	0.376913686888996	1.54899687524026
TRINITY_GG_11578_c30_g2	-1.49144598113011	-1.49144598113011	-1.49144598113011	1.43966971862768	1.07049107849232	1.96417714627033
TRINITY_GG_16764_c2_g2	-1.1083699225934	-1.1083699225934	-1.1083699225934	2.11813860721528	1.0451111759203	0.161859984644602
TRINITY_GG_20916_c1_g1	-0.988055091737404	-0.988055091737404	-0.988055091737404	0.9184507338886	1.08816192987964	0.957552611443968
TRINITY_GG_89019_c1_g1	1.00802605827258	2.09309683604632	1.34896442463272	-1.70510814167721	-1.45337293596482	-1.29160624130959
TRINITY_GG_13393_c0_g1	-1.43187485526582	-1.43187485526582	-1.43187485526582	1.60251695955853	1.84908145856523	0.844026147673712
TRINITY_GG_71942_c68_g1	-1.10848528860033	-1.10848528860033	-1.10848528860033	2.00887729755433	2.02343339026224	-0.706854822015587
TRINITY_GG_31829_c0_g1	-0.956633845582907	-0.956633845582907	-0.956633845582907	2.17248428250642	0.271107230256221	0.426310023986084
TRINITY_GG_97_c0_g1	2.2650646330515	2.78952584711293	1.75912587223817	-2.18229322634191	-2.43204194142548	-2.1993811846352
TRINITY_GG_72964_c11_g1	-1.26824260677778	-1.26824260677778	-1.26824260677778	0.41253181871468	1.70903731672213	1.68315868489653
TRINITY_GG_75902_c19_g1	-1.08414315562763	-1.23600197235464	-1.23600197235464	1.29556663646032	1.45463860626106	0.805941857615529
TRINITY_GG_27581_c2_g1	2.67550946405513	0.211568114845067	1.42499475492397	-1.43735744460805	-1.43735744460805	-1.43735744460805
TRINITY_GG_88200_c2_g2	0.582223090190467	0.97111817466708	0.955368977314027	-0.836236747390524	-0.836236747390524	-0.836236747390524
TRINITY_GG_25742_c0_g1	-1.01841923301108	-1.01841923301108	-1.01841923301108	0.191346032963023	1.93223580490761	0.931675861162606
TRINITY_GG_85621_c13_g1	-0.826962149714137	-0.826962149714137	-0.826962149714137	1.21042007228894	-0.00321278940586434	1.27367916625933
TRINITY_GG_100779_c8_g1	-1.05505641665217	-1.05505641665217	-1.05505641665217	2.12126635598829	1.61147296127187	-0.567570067303637
TRINITY_GG_11197_c71_g1	0.844860118642657	0.73874256474017	0.722411919442985	-0.768671534275271	-0.768671534275271	-0.768671534275271
TRINITY_GG_25137_c0_g2	1.53597633362607	0.87147219347264	0.808211180516804	-1.07188656920517	-1.07188656920517	-1.07188656920517
TRINITY_GG_38102_c0_g3	-1.56171176427797	-1.56171176427797	-1.56171176427797	1.30539396522468	1.81596729472784	1.5637740328814
TRINITY_GG_12030_c37_g1	-0.969308594303978	-0.969308594303978	-0.969308594303978	0.799616741259773	1.83577745239147	0.272531589260693
