bleached_44_01	bleached_44_02	bleached_44_03	non-bleached_44_01	non-bleached_44_02	non-bleached_44_03
TRINITY_GG_61566_c1_g2	-0.968766994014033	-0.968766994014033	-0.968766994014033	0.832391662079666	1.02653661132121	1.04737270864122
TRINITY_GG_26351_c40_g1	-0.922607295959543	-0.922607295959543	-0.922607295959543	0.942519699121152	1.10313026545407	0.722171923303411
TRINITY_GG_73066_c2_g1	0.0737516966921743	2.46124810457825	2.56941946446519	-1.93983127558075	-1.61323174096949	-1.55135624918538
TRINITY_GG_78359_c107_g1	-1.31736248257714	-1.31736248257714	-1.31736248257714	0.721073699078973	1.53223652857432	1.69877722007812
TRINITY_GG_22982_c34_g1	-1.12815275534153	-1.12815275534153	-1.12815275534153	1.08379392702965	0.298380382775141	2.0022839562198
TRINITY_GG_19852_c0_g1	-2.57355792582293	-2.41910433314305	-2.24242600360573	0.897239212595436	3.00432403367471	3.33352501630156
TRINITY_GG_100021_c39_g1	-1.42424521870951	-1.42424521870951	-1.42424521870951	1.10432610016124	1.43254132757857	1.73586822838873
TRINITY_GG_71998_c5_g1	3.15891132176746	-0.536396455707298	2.06886887150825	-1.5547390358291	-1.55900526380013	-1.57763943793918
TRINITY_GG_39496_c0_g2	1.03443653100221	0.969782022973805	0.759526180625343	-0.921248244867118	-0.921248244867118	-0.921248244867118
TRINITY_GG_66080_c1_g2	-1.36514787762027	-1.36514787762027	-1.36514787762027	0.90508202961773	1.45941633446956	1.73094526877351
TRINITY_GG_34935_c5_g1	1.68098859386797	0.657199867973908	1.31637264799577	-1.21818703661255	-1.21818703661255	-1.21818703661255
TRINITY_GG_10976_c28_g1	-0.984954293705701	-0.984954293705701	-0.984954293705701	0.495310828348762	1.16949929897417	1.29005275379417
TRINITY_GG_58804_c0_g1	0.242013649901326	0.765453991931268	2.36692672784481	-1.1247981232258	-1.1247981232258	-1.1247981232258
TRINITY_GG_14195_c1_g1	-0.915739160359851	-0.915739160359851	-0.915739160359851	0.166282108985651	1.1209399938706	1.45999537822331
TRINITY_GG_97193_c0_g1	-2.55297678128893	-2.55297678128893	-2.55297678128893	2.64971519084138	3.05636450488329	1.95285064814212
TRINITY_GG_85769_c0_g3	-1.60648367715141	-1.60648367715141	-1.60648367715141	2.22691245701182	0.611057262711119	1.98148131173127
TRINITY_GG_19266_c1_g2	2.4173972757594	2.53792486774202	-0.910909731690671	-1.34813747060358	-1.34813747060358	-1.34813747060358
TRINITY_GG_57272_c1_g1	-1.00274926288873	-1.00274926288873	-1.00274926288873	0.620181088031446	1.23021841764292	1.15784828299182
TRINITY_GG_16639_c3_g1	-1.40192697291701	-1.40192697291701	-1.40192697291701	1.18927370001537	1.86065652025774	1.15585069847792
TRINITY_GG_93343_c1_g2	-1.77918487692177	-1.39734779301573	-1.77918487692177	1.26275895304839	1.90910740091123	1.78385119289964
TRINITY_GG_101167_c26_g1	-1.24315804424914	-1.24315804424914	-1.24315804424914	0.758644198384847	0.991956276127218	1.97887365823535
TRINITY_GG_15239_c10_g1	0.605941444365457	1.33431634673417	1.32187691223872	-1.08737823444612	-1.08737823444612	-1.08737823444612
TRINITY_GG_87467_c0_g2	-0.993492138718192	-0.993492138718192	-0.993492138718192	0.721961988397526	1.44053553594541	0.817978891811644
TRINITY_GG_19558_c2_g1	-1.1766587087328	-1.1766587087328	-1.1766587087328	0.168169788264639	1.45491125957672	1.90689507835704
TRINITY_GG_17473_c82_g1	-1.16067920671488	-1.16067920671488	-1.16067920671488	1.77024732434914	0.491463065421779	1.22032723037373
TRINITY_GG_18207_c5_g3	-1.95852429183803	-1.95852429183803	-1.95852429183803	1.32198667701623	1.88666464350205	2.66692155499581
TRINITY_GG_49582_c2_g1	4.10696581286251	0.374758060857332	1.72692671986219	-2.39092186967009	-1.62053138980355	-2.19719733410839
TRINITY_GG_8251_c0_g1	-1.33475814825291	-1.33475814825291	-1.33475814825291	0.795843301537656	1.80290930880109	1.40552183441998
TRINITY_GG_73686_c35_g1	-0.992800325114272	-0.992800325114272	-0.992800325114272	0.321606182440548	1.32334541717908	1.33344937572318
TRINITY_GG_24785_c1_g1	-0.957964371243761	-0.957964371243761	-0.957964371243761	0.840708307714042	1.13356622187686	0.899618584140387
TRINITY_GG_19144_c14_g1	-0.933763400942491	-0.933763400942491	-0.933763400942491	0.183266652067696	1.27350477216954	1.34451877859024
TRINITY_GG_94784_c0_g1	-1.00038469786805	-1.00038469786805	-1.00038469786805	-0.0487969030532959	2.08095492958389	0.968996067073558
TRINITY_GG_10943_c3_g1	-1.49129084521199	-1.49129084521199	-1.49129084521199	0.960777385011825	2.88569404304431	0.62740110757982
TRINITY_GG_95281_c0_g1	-2.52218327179999	-2.09253607763679	-2.55685915664752	-2.29507872311422	4.02348700893835	5.44317022026018
TRINITY_GG_75249_c0_g1	1.19915246806668	1.60976522100936	0.323718183804903	-1.04421195762698	-1.04421195762698	-1.04421195762698
TRINITY_GG_42437_c0_g2	2.10648421134743	0.606392831344967	0.607712168465619	-1.10686307038601	-1.10686307038601	-1.10686307038601
TRINITY_GG_78641_c26_g1	1.70088071471972	2.10435404801368	0.194883333653468	-1.4158167284813	-1.29281277442648	-1.29148859347909
TRINITY_GG_70588_c3_g1	-0.901544480125992	-0.901544480125992	-0.901544480125992	1.43987204435273	0.316306616685139	0.948454779340106
TRINITY_GG_34953_c0_g1	1.70061577488984	2.06906463011096	0.579597068629961	-1.54308715269202	-1.1498158819176	-1.65637443902114
TRINITY_GG_21783_c3_g1	-1.07198488358293	-1.07198488358293	-1.07198488358293	0.987716488563369	2.11308875429383	0.115149407891602
TRINITY_GG_72923_c0_g1	-2.5118609430347	-1.74717509051256	-2.31148214505067	2.11597932200928	2.16638001799762	2.28815883859103
TRINITY_GG_91551_c0_g1	1.64790064490254	0.566610740435164	0.704249607779259	-0.972920331038986	-0.972920331038986	-0.972920331038986
TRINITY_GG_11942_c33_g1	-1.07349531881676	-1.07349531881676	-1.07349531881676	1.19493907475963	1.34415469834393	0.681392183346712
TRINITY_GG_12144_c33_g1	-1.41135877174492	-1.41135877174492	-1.41135877174492	1.31830275413038	1.33237160429971	1.58340195680466
TRINITY_GG_97441_c0_g1	-1.52492928099257	-1.52492928099257	-1.52492928099257	2.03810678882885	1.00138997682457	1.53529107732429
TRINITY_GG_95146_c10_g1	-1.96533479748031	-1.80699777031321	-1.96533479748031	1.80897787343651	1.5641113743896	2.36457811744773
TRINITY_GG_18159_c18_g1	-1.06128527149537	-1.06128527149537	-1.06128527149537	1.34796987518947	1.42053030212249	0.41535563717415
TRINITY_GG_25807_c0_g1	-1.22267334598165	-1.22267334598165	-1.22267334598165	1.34268011080098	0.762462721386361	1.56287720575761
TRINITY_GG_101141_c3_g2	-0.972415183510352	-0.972415183510352	-0.972415183510352	1.56810811292787	0.936397724229195	0.412739713373992
TRINITY_GG_12604_c3_g1	-0.91385046187031	-0.91385046187031	-0.91385046187031	0.168170807475192	1.34285830571407	1.23052227242167
TRINITY_GG_11942_c208_g1	-0.941686075699047	-0.941686075699047	-0.941686075699047	1.51669592845697	0.535473135487594	0.772889163152579
TRINITY_GG_48611_c0_g1	-0.860179170129866	-0.860179170129866	-0.860179170129866	1.08280442805724	0.63807169739796	0.859661384934402
TRINITY_GG_78359_c38_g1	0.784495886876973	1.7289442507328	2.31414449432167	-1.60919487731048	-1.60919487731048	-1.60919487731048
TRINITY_GG_14519_c27_g2	-1.07418426046558	-1.07418426046558	-1.07418426046558	-0.139101737146915	2.39074534066428	0.970909177879371
TRINITY_GG_72728_c3_g1	-2.54615554610217	-2.43796418549838	-1.11272335657019	1.66812058680983	2.4203435253733	2.0083789759876
TRINITY_GG_18009_c13_g1	-0.960291217662486	-0.960291217662486	-0.960291217662486	0.737927260561928	0.927234053079101	1.21571233934643
TRINITY_GG_96426_c0_g1	-0.900864027644835	-0.900864027644835	-0.900864027644835	1.39662088806574	0.723470861800253	0.582500333068514
TRINITY_GG_19296_c0_g1	-1.35021462274192	-1.35021462274192	-1.35021462274192	1.68822155891419	0.518077046030878	1.84434526328069
