male_bleached_K5_01	male_bleached_K5_02	male_bleached_K5_03	female_bleached_K5_04	female_bleached_K5_05	female_bleached_K5_06
TRINITY_DN186165_c1_g5	0.441475033379713	2.09583229949466	0.574406574311653	-1.03723796906201	-1.03723796906201	-1.03723796906201
TRINITY_DN177744_c0_g1	2.27283383314382	0.505523975950367	1.18096182369795	-1.36314063924135	-1.74361865870801	-0.852560334842773
TRINITY_DN158583_c3_g1	-1.80885335213443	-3.42626314343281	-0.852670835260907	1.8425811117512	3.49758104344362	0.747625175633319
TRINITY_DN167794_c2_g1	-0.767984334434433	-0.767984334434433	-0.767984334434433	0.697728985161531	0.621031725254076	0.985192292887691
TRINITY_DN187744_c2_g1	1.37789249710041	1.08755219306287	1.39910234639756	-1.28818234552028	-1.28818234552028	-1.28818234552028
TRINITY_DN168613_c2_g2	-1.03685776013074	-1.03685776013074	-1.03685776013074	1.24112698716903	0.50713295953411	1.36231333368908
TRINITY_DN182856_c5_g2	-2.02460058390652	-2.02460058390652	-2.02460058390652	4.25059274999569	3.84780958563038	-2.02460058390652
TRINITY_DN172258_c4_g3	1.08522029444113	0.956471773966943	0.474946705190781	-0.838879591199616	-0.838879591199616	-0.838879591199616
TRINITY_DN191360_c2_g1	4.48696469313062	0.22069812124415	0.428078928817522	-1.90818464738617	-1.94056064934084	-1.28699644646528
TRINITY_DN197601_c4_g3	3.02026638472253	1.19938197660558	-0.0708488941959629	-1.38293315571072	-1.38293315571072	-1.38293315571072
TRINITY_DN167520_c0_g3	1.58465966985201	1.42413752949935	-0.0754993730255377	-0.977765942108609	-0.977765942108609	-0.977765942108609
TRINITY_DN164343_c5_g2	1.69725397650284	0.724103914764134	0.512973117471949	-0.978110336246307	-0.978110336246307	-0.978110336246307
TRINITY_DN144910_c2_g1	1.05937455683863	0.161063979698003	1.37145590784392	-0.863964814793519	-0.863964814793519	-0.863964814793519
TRINITY_DN180369_c0_g1	1.71879907404752	4.07148150194487	-0.789556424161151	-1.66690805061041	-1.66690805061041	-1.66690805061041
TRINITY_DN153497_c0_g3	0.899233139745216	2.58366102265617	-0.0684469156277967	-1.13814908225786	-1.13814908225786	-1.13814908225786
TRINITY_DN186354_c0_g1	-1.57870189114696	-0.921937119557708	-0.950782708072247	1.53928135777833	1.05243049107037	0.859709869928226
TRINITY_DN229683_c0_g1	0.16936919934824	3.34365204706866	0.0658599860530831	-1.19296041082333	-1.19296041082333	-1.19296041082333
