bleached_44_01	bleached_44_02	bleached_44_03	bleached_K5_01	bleached_K5_02	bleached_K5_03	bleached_K5_04	bleached_K5_05	bleached_K5_06	non-bleached_44_01	non-bleached_44_02	non-bleached_44_03	non-bleached_K5_01	non-bleached_K5_02	non-bleached_K5_03
TRINITY_DN177063_c1_g2	-0.347562345997597	-0.347562345997597	-0.347562345997597	-0.347562345997597	-0.347562345997597	-0.347562345997597	-0.347562345997597	-0.347562345997597	-0.347562345997597	0.13166821520874	0.638666534229803	1.62806784028323	-0.347562345997597	0.259353595827609	0.817867274426589
TRINITY_DN229923_c0_g1	-0.41082540524765	-0.41082540524765	-0.41082540524765	-0.41082540524765	-0.41082540524765	-0.41082540524765	-0.41082540524765	-0.41082540524765	-0.41082540524765	1.53740163863152	0.508323958040024	-0.41082540524765	2.28338620252024	-0.102814090695473	-0.118043656019804
TRINITY_DN221714_c0_g1	-0.53421255985093	-0.53421255985093	-0.53421255985093	-0.53421255985093	-0.53421255985093	-0.53421255985093	-0.53421255985093	-0.53421255985093	-0.53421255985093	0.566092345944755	0.750301573393315	-0.53421255985093	3.84311945553124	-0.0747809412136329	0.257393164853621
TRINITY_DN166914_c4_g3	-2.26007753891888	-1.43177529439359	-2.3429785684115	-0.923897555758257	0.56053705370755	-0.361065909920995	-0.837043127542426	-0.0470399359964708	-1.88455286298655	3.37560963598494	5.10890960015952	-1.67064618060007	6.92717728693873	-2.20375225209037	-2.00940435017163
TRINITY_DN166693_c3_g1	-0.844091707463267	-1.1984796746097	-0.928443188377188	-1.37394960874397	-0.173854226316366	-1.61639968242167	-1.44263261468496	-0.761207274462516	-1.3413926349218	2.31821117154278	6.40215104121648	-1.43752572425187	4.76647503791344	-1.07438932688506	-1.29447158753431
TRINITY_DN177757_c0_g2	-0.631536511670625	-0.631536511670625	-0.574952983304257	-0.631536511670625	-0.517836012505897	-0.631536511670625	-0.631536511670625	-0.631536511670625	-0.631536511670625	-0.0934950583369613	-0.120574592393246	-0.211458395691251	3.45787689190491	-0.631536511670625	3.1127322436917
TRINITY_DN164323_c6_g4	-0.757759762965288	-0.757759762965288	-0.757759762965288	-0.757759762965288	-0.757759762965288	-0.757759762965288	-0.757759762965288	-0.757759762965288	-0.757759762965288	0.329024003176779	3.54937727923963	-0.757759762965288	4.76159342657123	-0.304637316369475	-0.757759762965288
TRINITY_DN181074_c2_g2	-0.933410838295629	-0.571642478876476	-0.845269241426612	-0.825053660205211	-0.933410838295629	-0.933410838295629	-0.933410838295629	-0.81040688424081	-0.766052910557115	-0.933410838295629	-0.739323786179327	0.925365907012563	-0.791978047366334	4.36102611608134	4.73038917723613
TRINITY_DN162514_c5_g1	-0.760913562755122	-0.816109216997247	-0.740234350022119	-0.816109216997247	-0.683861418698807	-0.816109216997247	-0.816109216997247	-0.816109216997247	-0.536340795403652	-0.711772557182511	3.91995441087457	0.34610081931706	4.21139873982921	-0.749847774728526	-0.213937426243868
TRINITY_DN194671_c0_g1	-0.808010312382826	-0.962463905062699	-0.893449227147518	-0.646318162769342	-0.842111964697477	-0.652123784450548	-0.882488528342103	-0.962463905062699	-0.707869862029558	-0.867552258037232	-0.882488528342103	-0.659121510575368	5.77101246286553	-0.847430662116459	4.8428801481504
TRINITY_DN160762_c3_g7	-0.399824832240648	-0.399824832240648	-0.399824832240648	-0.399824832240648	-0.399824832240648	-0.399824832240648	-0.399824832240648	-0.399824832240648	-0.399824832240648	0.686958933901419	0.863810571327681	0.956318977984627	0.332227241059641	-0.399824832240648	1.15893259813311
TRINITY_DN196033_c2_g5	-0.478524323779431	-0.478524323779431	-0.478524323779431	-0.478524323779431	-0.478524323779431	-0.478524323779431	-0.478524323779431	-0.478524323779431	-0.478524323779431	-0.0660137525296268	1.42605611114189	-0.478524323779431	3.35233943297233	0.048546011733229	0.0243154344765
TRINITY_DN169391_c1_g1	-0.473896324747197	-0.473896324747197	-0.473896324747197	-0.473896324747197	-0.473896324747197	-0.473896324747197	-0.473896324747197	-0.473896324747197	-0.473896324747197	0.183286335381226	0.818296449154694	0.14903402617298	3.59966687346807	-0.0113204367049928	-0.473896324747197
TRINITY_DN174443_c9_g2	-0.80809981834452	-0.80809981834452	-0.80809981834452	-0.80809981834452	-0.80809981834452	-0.80809981834452	-0.80809981834452	-0.80809981834452	-0.80809981834452	4.49688571616528	-0.18704431504478	-0.0812686013120266	-0.80809981834452	4.47656236713865	-0.624136983501925
TRINITY_DN121800_c0_g1	-0.47356187952306	-0.47356187952306	-0.47356187952306	-0.47356187952306	-0.47356187952306	-0.47356187952306	-0.47356187952306	-0.47356187952306	-0.47356187952306	-0.0610513082732553	2.09690105150298	0.217078699092633	1.92697605006067	-0.47356187952306	0.555714302847572
