bleached_44_01	bleached_44_02	bleached_44_03	bleached_k4_01	bleached_k4_02	bleached_k4_03
TRINITY_GG_95190_c3_g1	-0.926347706115869	-0.926347706115869	-0.926347706115869	1.17865981864511	0.814795648839448	0.785587650863053
TRINITY_GG_70584_c83_g1	-0.983621281405421	-0.983621281405421	-0.983621281405421	0.878730918126599	1.46025054699234	0.611882379097321
TRINITY_GG_95281_c0_g1	-2.03108795701598	-1.60565150845488	-2.05960799702603	3.02741277434468	-1.67782473684765	4.34675942499987
TRINITY_GG_42437_c0_g2	2.08166505629576	0.59951083663613	0.617613751031725	-1.09959654798787	-1.09959654798787	-1.09959654798787
TRINITY_GG_14974_c0_g2	-1.94421339850219	-1.94421339850219	-1.94421339850219	1.56358124169651	2.45966781603224	1.80939113777781
TRINITY_GG_102824_c3_g1	-1.02026772038587	-1.41470425358196	-1.71402555335133	1.28054777453614	1.18434348741134	1.68410626537169
TRINITY_GG_90549_c49_g1	-1.32361452069174	-1.32361452069174	-1.32361452069174	1.75567824658111	0.613729871458492	1.60143544403562
TRINITY_GG_24859_c1_g1	-0.910466094765885	-0.910466094765885	-0.910466094765885	0.40972972650024	1.43180417963866	0.889864378158751
TRINITY_GG_46392_c1_g1	2.77340519305106	1.28455884533967	-0.142350113454799	-1.30520464164531	-1.30520464164531	-1.30520464164531
TRINITY_GG_64331_c3_g1	-2.2792362632488	-1.63707619072111	-1.39824931129902	2.77328667801543	-1.12889239372544	3.67016748097894
TRINITY_GG_86177_c1_g5	-1.0167898796103	-1.0167898796103	-1.0167898796103	1.12366159734336	0.506270182184946	1.42043785930261
TRINITY_GG_72923_c0_g1	-2.90635455511979	-2.15189458149431	-2.70472069395014	2.67505695374114	2.80053510698202	2.28737776984109
TRINITY_GG_15654_c0_g1	-0.861889902135917	-0.861889902135917	-0.861889902135917	1.03960455291166	0.982495750866654	0.563569402629438
TRINITY_GG_15200_c18_g2	1.32874423454927	1.18171228325448	0.808596233408745	-1.10635091707083	-1.10635091707083	-1.10635091707083
TRINITY_GG_11942_c33_g1	-1.00523420573424	-1.00523420573424	-1.00523420573424	0.845165191036018	1.06240451114113	1.10813291502557
TRINITY_GG_24327_c0_g1	1.0282463396703	0.821559385368555	0.798804175084912	-0.882869966707922	-0.882869966707922	-0.882869966707922
TRINITY_GG_82987_c0_g2	-0.835447968599348	-0.835447968599348	-0.835447968599348	0.787482382320829	0.72771016180346	0.991151361673754
TRINITY_GG_69997_c85_g1	0.9258345207865	0.736564169624761	1.02889989131435	-0.897099527241871	-0.897099527241871	-0.897099527241871
TRINITY_GG_78347_c55_g1	-1.07098207076228	-1.07098207076228	-1.07098207076228	0.588485866322503	1.45207799103297	1.17238235493138
TRINITY_GG_4196_c0_g1	-0.976846283253994	-0.976846283253994	-0.976846283253994	1.54420445364697	0.287990365213786	1.09834403090123
TRINITY_GG_64169_c6_g1	0.343613990251153	2.02680427538538	2.14873754200831	-1.50638526921495	-1.50638526921495	-1.50638526921495
TRINITY_GG_11605_c70_g1	-0.981441912356483	-0.981441912356483	-0.981441912356483	1.38397068013446	0.921210558839598	0.639144498095394
TRINITY_GG_18450_c41_g1	-1.09139713199616	-1.09139713199616	-1.09139713199616	0.748965386662274	1.31649941675336	1.20872659257285
TRINITY_GG_81920_c25_g1	1.44422473996757	1.50406272877026	0.820618272009923	-1.2910808001875	-1.2910808001875	-1.18674414037276
TRINITY_GG_71933_c140_g1	0.657916524331816	1.43487939824406	2.15232318281466	-1.443061123393	-1.35899685860453	-1.443061123393
TRINITY_GG_103503_c0_g1	-0.915010576288812	-0.915010576288812	-0.915010576288812	1.35462107465163	1.0752182171372	0.315192437077609
TRINITY_GG_62092_c0_g1	1.1978713586967	0.864705477218904	2.20838241900866	-1.42365308497476	-1.42365308497476	-1.42365308497476
TRINITY_GG_41689_c3_g1	1.93065202047153	2.91418397345323	0.535849004932738	-1.79356166628583	-1.79356166628583	-1.79356166628583
TRINITY_GG_6643_c0_g1	-0.901598662685077	-0.901598662685077	-0.901598662685077	0.868173076564371	1.09298106153067	0.743641849960188
TRINITY_GG_79135_c2_g1	-1.16499452804912	-1.41244268393348	-1.25194377800846	0.198944722019056	1.44046037171752	2.18997589625448
TRINITY_GG_78359_c38_g1	0.764287453235292	1.71343642888485	2.32649136976658	-1.60140508396224	-1.60140508396224	-1.60140508396224
TRINITY_GG_56297_c0_g3	-0.872607070895439	-0.872607070895439	-0.872607070895439	0.82827648513283	0.52793085868829	1.2616138688652
TRINITY_GG_14519_c27_g2	-1.01427281003087	-1.01427281003087	-1.01427281003087	1.19611605441453	1.16810167824494	0.67860069743313
