b_44_01	b_44_02	b_44_03	b_K5_01	b_K5_02	b_K5_03	b_K5_04	b_K5_05	b_K5_06	bleached_44_01	bleached_44_02	bleached_44_03	bleached_K5_01	bleached_K5_02	bleached_K5_03	bleached_K5_04	bleached_K5_05	bleached_K5_06	nb_44_04	nb_44_05	nb_44_06	nb_K5_07	nb_K5_08	nbK5_09	non-bleached_44_01	non-bleached_44_02	non-bleached_44_03	non-bleached_K5_01	non-bleached_K5_02	non-bleached_K5_03
TRINITY_DN193268_c1_g2_i3	1.79582491011226	2.66785507157	-1.10740622077775	-1.10740622077775	-1.10740622077775	-1.10740622077775	-1.10740622077775	-1.10740622077775	-1.10740622077775	1.79717421414357	2.66753893372697	-1.10740622077775	-1.10740622077775	-1.10740622077775	-1.10740622077775	-1.10740622077775	-1.10740622077775	-1.10740622077775	3.84744148222742	-1.10740622077775	3.86969049171921	-1.10740622077775	-1.10740622077775	-1.10740622077775	3.84776706827817	-1.10740622077775	3.86964468533286	-1.10740622077775	-1.10740622077775	-1.10740622077775
TRINITY_DN198392_c1_g2_i3	-1.24455184265889	-1.24455184265889	-1.22307211524844	-1.24455184265889	-1.24455184265889	-1.24455184265889	-1.24455184265889	-1.24455184265889	-1.24455184265889	-1.24455184265889	-1.24455184265889	-1.22307211524844	-1.24455184265889	-1.24455184265889	-1.24455184265889	-1.24455184265889	-1.24455184265889	-1.24455184265889	6.02432228429825	0.465620905620769	-1.24455184265889	4.8143057785678	2.36496674775241	-1.24455184265889	6.02465901073096	0.466061759723784	-1.24455184265889	4.81192330610776	2.36532129087299	-1.24455184265889
TRINITY_DN176580_c0_g1_i6	-1.43135804932042	-1.43135804932042	-1.43135804932042	-0.930555996263265	-1.43135804932042	-1.43135804932042	-1.43135804932042	-1.43135804932042	-0.758706419992038	-1.43135804932042	-1.43135804932042	-1.43135804932042	-0.930555996263265	-1.43135804932042	-1.43135804932042	-1.43135804932042	-1.43135804932042	-0.7596117824572	2.41814088239976	3.38897411151349	1.99262342829613	2.97511059329823	2.35314593360914	-1.41986241048259	2.41864121014568	3.38907623475562	1.99302662221767	2.97565472419559	2.35377396599556	-1.41986241048259
TRINITY_DN189906_c0_g3_i1	-1.91552555572246	-2.59989548473547	-2.39075408689688	0.234815731069257	3.57784295576884	-0.928602112253892	-1.76801824354379	-0.152316288186585	7.36920894595963	-1.91462807821863	-2.59989548473547	-2.39075408689688	0.234613488825863	3.57469070016607	-0.928602112253892	-1.76720796829594	-0.153374564442283	7.3678653801913	-1.8800549296712	-1.76154874821424	-2.33565933369192	-0.691851194510579	-1.68839563587436	6.93247213013498	-1.8800549296712	-1.76154874821424	-2.33565933369192	-0.691466834566681	-1.68839563587436	6.93270005804691
TRINITY_DN183482_c4_g1_i6	-0.0739588615336109	-1.78584240780556	9.64861197220813	-2.55137715416854	-2.55137715416854	-2.55137715416854	-2.55137715416854	-0.695387456860055	-2.55137715416854	-0.0726641517268138	-1.78584240780556	9.64888699134391	-2.55137715416854	-2.55137715416854	-2.55137715416854	-2.55137715416854	-0.696184746209382	-2.55137715416854	1.40811481965423	-0.867007225155529	6.7000058384377	-1.57538019655209	0.707292514499946	-0.710209110619886	1.40848571625397	-0.867007225155529	6.70005318120355	-1.57538019655209	0.706991010833041	-0.709806516773019
TRINITY_DN182381_c1_g3_i8	-2.53189965392652	-2.53189965392652	-2.53189965392652	3.72693958286868	3.73394976751433	4.82814851555995	5.42249443173974	3.82965818015614	1.244941289341	-2.53189965392652	-2.53189965392652	-2.53189965392652	3.72669464473223	3.73066504816199	4.82847340237992	5.42344802600742	3.82837682204845	1.2504040601675	-2.53189965392652	-2.53189965392652	-2.53189965392652	-2.53189965392652	-2.53189965392652	-2.53189965392652	-2.53189965392652	-2.53189965392652	-2.53189965392652	-2.53189965392652	-2.53189965392652	-2.53189965392652
TRINITY_DN132627_c0_g1_i3	-1.1020031277849	-1.1020031277849	-1.1020031277849	-0.109959851613244	-1.1020031277849	-1.1020031277849	-1.1020031277849	-1.1020031277849	-1.1020031277849	-1.1020031277849	-1.1020031277849	-1.1020031277849	-0.109959851613244	-1.1020031277849	-1.1020031277849	-1.1020031277849	-1.1020031277849	-1.1020031277849	-1.1020031277849	1.17210940999887	-1.1020031277849	6.13897896135749	-1.1020031277849	4.9205866212552	-1.1020031277849	1.17210940999887	-1.1020031277849	6.13948434540767	-1.1020031277849	4.92071976647618
TRINITY_DN174963_c1_g2_i2	-0.843836877100847	-0.843836877100847	-0.509268601434715	-0.843836877100847	-0.843836877100847	-0.843836877100847	-0.843836877100847	-0.843836877100847	-0.843836877100847	-0.843836877100847	-0.843836877100847	-0.509268601434715	-0.843836877100847	-0.843836877100847	-0.843836877100847	-0.843836877100847	-0.843836877100847	-0.843836877100847	-0.843836877100847	0.556154473563334	-0.843836877100847	9.750064934702	-0.515000412871307	-0.843836877100847	-0.843836877100847	0.556154473563334	-0.843836877100847	9.75057544300202	-0.515000412871307	-0.843836877100847
TRINITY_DN166179_c4_g3_i5	1.84062465052114	-0.824313226920617	5.13376382822297	-0.824313226920617	-0.824313226920617	-0.824313226920617	-0.824313226920617	-0.824313226920617	-0.824313226920617	1.84198890125248	-0.824313226920617	5.13663860114659	-0.824313226920617	-0.824313226920617	-0.824313226920617	-0.824313226920617	-0.824313226920617	-0.824313226920617	-0.824313226920617	-0.192976082793136	2.23625301848514	-0.824313226920617	-0.824313226920617	-0.824313226920617	-0.824313226920617	-0.0974820098881238	2.23608008530652	-0.824313226920617	-0.824313226920617	-0.824313226920617
TRINITY_DN157861_c0_g1_i1	-1.75457844770295	-1.75457844770295	-1.75457844770295	-1.75457844770295	-1.75457844770295	-1.75457844770295	-1.75457844770295	-1.75457844770295	-1.75457844770295	-1.75457844770295	-1.75457844770295	-1.75457844770295	-1.75457844770295	-1.75457844770295	-1.75457844770295	-1.75457844770295	-1.75457844770295	-1.75457844770295	-1.75457844770295	-1.75457844770295	8.55637735923814	-1.75457844770295	5.98133630151692	6.51729538631465	-1.75457844770295	-1.75457844770295	8.5563512376652	-1.75457844770295	5.98111972332102	6.51740273681491
