b_44_01	b_44_02	b_44_03	b_K5_01	b_K5_02	b_K5_03	b_K5_04	b_K5_05	b_K5_06	bleached_44_01	bleached_44_02	bleached_44_03	bleached_K5_01	bleached_K5_02	bleached_K5_03	bleached_K5_04	bleached_K5_05	bleached_K5_06	nb_44_04	nb_44_05	nb_44_06	nb_K5_07	nb_K5_08	nbK5_09	non-bleached_44_01	non-bleached_44_02	non-bleached_44_03	non-bleached_K5_01	non-bleached_K5_02	non-bleached_K5_03
bleached_44_02	0.593151956149727	0.9999999994442	0.012136296310906	-0.192767819842362	0.269641945945648	0.101031965576497	-0.171766218947899	-0.105006321603879	-0.314927559932684	0.593118316251154	1	0.0121277287990877	-0.192748334010854	0.2697316228791	0.101037194583189	-0.171714095595422	-0.105012120617861	-0.314974067403469	-0.00159521959392488	0.0771008620855639	-0.153309628970492	-0.311894995994062	-0.262566108152546	-0.332028540729369	-0.00160679199872603	0.0767146181018288	-0.153309209236531	-0.311901782392791	-0.26250922811446	-0.332036120447874
bleached_44_03	0.250853239344565	0.0121301380857007	0.999999986535895	-0.241691366658412	-0.197505253148136	-0.230089820906487	-0.214801013698497	-0.0716575188130164	-0.337978017700919	0.250956741876963	0.0121277287990877	1	-0.241688084744868	-0.197642503875899	-0.230079633277592	-0.214784260990817	-0.071783398024321	-0.338061888606345	0.0239658964642941	0.146250071226081	0.364685511669006	-0.239368804675862	-0.0844969041858995	-0.29823095641819	0.0239766887413629	0.148786085490806	0.364716491054642	-0.239366740792685	-0.0846438672999118	-0.298215062283351
bleached_K5_01	-0.257268221627038	-0.192750631800555	-0.241695719628862	0.999999997538917	0.124638488016634	-0.0183810816804342	0.331643606374177	0.121640791612358	0.176179697703209	-0.257236128370947	-0.192748334010854	-0.241688084744868	1	0.124547548345607	-0.0183580525883811	0.331682999030608	0.121576292100239	0.176274252541234	-0.155468599274546	-0.0751951969501079	-0.265666904661971	-0.080925390684619	-0.257669478106477	0.112516145165436	-0.155442376465285	-0.0754208052695957	-0.265661755276807	-0.0809344133152584	-0.25758800099442	0.112506061265426
bleached_K5_02	0.195027167685504	0.269733090473005	-0.197655621914687	0.124559961608548	0.999999872672718	0.41054558470001	-0.0110883957132648	0.168682185661977	0.14396860427973	0.195048552913046	0.2697316228791	-0.197642503875899	0.124547548345607	1	0.410556739595129	-0.0110209033256179	0.168627114462181	0.144071578435818	-0.282178375117304	-0.288051786781984	-0.417143055758645	-0.302056550621767	-0.477719559565226	0.0461865979856952	-0.282190144745879	-0.288381272186183	-0.417158025018564	-0.302054055150235	-0.477478228220221	0.0461803409345858
bleached_K5_03	-0.0457838389556258	0.101051247926398	-0.230079202311173	-0.0183450044349348	0.410618722038614	0.999999998740626	0.20609417777755	0.312802424046596	0.282540310652812	-0.0457260399546615	0.101037194583189	-0.230079633277592	-0.0183580525883811	0.410556739595129	1	0.206172589393424	0.312679522772207	0.282599878365843	-0.257507202487711	-0.395487242860112	-0.398299977464814	-0.208481410616264	-0.318388052577336	-0.270981832122516	-0.257513707124937	-0.395969573617812	-0.398307833129668	-0.208451713831251	-0.318333654541872	-0.270960853243267
bleached_K5_04	-0.300311405301747	-0.171705797032423	-0.214789049046909	0.331692072199721	-0.0109083932322619	0.206172540415826	0.999999981825379	0.278521777030201	0.308772136036754	-0.300285619900203	-0.171714095595422	-0.214784260990817	0.331682999030608	-0.0110209033256179	0.206172589393424	1	0.27851485827399	0.308978797219508	-0.208441408699911	-0.224946416942454	-0.291574079062906	0.0100735640098623	-0.289406052700999	-0.0422427967552203	-0.208439300628349	-0.22510678271866	-0.291571402687663	0.0100816973171819	-0.289320861287097	-0.0422490396980243
bleached_K5_05	-0.32748218682835	-0.10500744138115	-0.0717849124223311	0.121589785302648	0.168632777498437	0.312682614490733	0.27852262975522	0.999999915509611	0.216273730404889	-0.327482136895917	-0.105012120617861	-0.071783398024321	0.121576292100239	0.168627114462181	0.312679522772207	0.27851485827399	1	0.216480642384327	-0.135455927177548	-0.407440953998582	-0.15890662731263	-0.128944827483836	-0.209497947250755	-0.0856320484697172	-0.135456619691145	-0.407476200146403	-0.158896359665145	-0.12893598250522	-0.209494419593922	-0.0856438896946335
bleached_K5_06	-0.401552159530339	-0.314975680346119	-0.338068320565431	0.176288294000526	0.144063698569781	0.282607467443032	0.308951987109493	0.216528501156156	0.999999914127332	-0.401574348807622	-0.314974067403469	-0.338061888606345	0.176274252541234	0.144071578435818	0.282599878365843	0.308978797219508	0.216480642384327	1	-0.279448737873593	-0.439499230515708	-0.394370010062608	0.0095377677764107	-0.342484086521688	0.407935403285275	-0.279453699689308	-0.439895245409728	-0.394361451580188	0.009564835970426	-0.342390449406437	0.40796846194415
nb_44_04	0.0990845450224583	-0.00159649234707131	0.0239926017652545	-0.155478202600815	-0.28229185619812	-0.257495664786602	-0.208386830146249	-0.135591183526803	-0.279425171122875	0.0991232348702266	-0.00159521959392488	0.0239658964642941	-0.155468599274546	-0.282178375117304	-0.257507202487711	-0.208441408699911	-0.135455927177548	-0.279448737873593	1	0.245768249068524	0.113020543631141	-0.136007233328688	0.30390673258554	-0.342302666646849	0.999999998050673	0.245531530051833	0.112880394554802	-0.13609745575706	0.303270722584803	-0.34231951793877
nb_44_05	0.243287846791897	0.0770944825751056	0.146261959590761	-0.0752024252945726	-0.288080164003178	-0.395492481051146	-0.224928160545655	-0.40748584493094	-0.439452610065468	0.243318158679757	0.0771008620855639	0.146250071226081	-0.0751951969501079	-0.288051786781984	-0.395487242860112	-0.224946416942454	-0.407440953998582	-0.439499230515708	0.245768249068524	1	0.0199497705225457	0.125810820219013	0.199259758531309	-0.210234491252644	0.245761246824397	0.999967946160227	0.0199786885917417	0.125772631815449	0.198789023251095	-0.21023766622375
