bleached_44_01	bleached_44_02	bleached_k4_01	bleached_k4_02	bleached_k4_03	bleached_44_03	non-bleached_k4_01	non-bleached_k4_02	non-bleached_44_01	non-bleached_k4_03	non-bleached_44_02	non-bleached_44_03
TRINITY_GG_103730_c11_g1	-0.554733441151587	-0.554733441151587	-0.554733441151587	-0.554733441151587	-0.554733441151587	-0.554733441151587	1.09511191115442	0.3544636218401	0.733920422453582	-0.0549513210042757	-0.171789571582597	1.37164558404829
TRINITY_GG_67130_c1_g1	2.46489931300102	2.42604779687382	2.09130108756885	2.16335366650318	-1.14320023299336	-1.14320023299336	-1.14320023299336	-1.14320023299336	-1.14320023299336	-1.14320023299336	-1.14320023299336	-1.14320023299336
TRINITY_GG_546_c214_g1	-0.600720408662299	-0.600720408662299	-0.600720408662299	-0.600720408662299	-0.600720408662299	-0.600720408662299	-0.600720408662299	0.825812729454374	-0.233349343013769	1.94771621603374	0.633780911899912	1.03108234626183
TRINITY_GG_18252_c0_g1	-0.521613747854285	-0.521613747854285	-0.521613747854285	-0.521613747854285	-0.521613747854285	-0.521613747854285	0.339944671717743	0.270825182210352	0.34707301746785	1.02336613540152	1.34470081352276	-0.196227333194512
TRINITY_GG_12888_c0_g1	1.69665347188065	0.755092172859445	-0.548572040312359	2.277634589158	0.384814677871162	-0.545944179766321	-0.682135566053465	-0.682135566053465	-0.682135566053465	-0.60900086142325	-0.682135566053465	-0.682135566053465
TRINITY_GG_99443_c76_g1	0.707047697781036	-0.552375454500379	0.637923337126216	0.682125866061832	0.419214081029683	1.42031719950389	-0.552375454500379	-0.552375454500379	-0.552375454500379	-0.552375454500379	-0.552375454500379	-0.552375454500379
TRINITY_GG_5256_c24_g1	-0.643049919364792	-0.643049919364792	-0.643049919364792	-0.643049919364792	-0.643049919364792	-0.643049919364792	2.14291904741246	0.573560149377649	1.80796332357918	0.0829093151443951	-0.106002399960135	-0.643049919364792
TRINITY_GG_32543_c0_g2	-1.61429156349078	-1.46763634137131	-1.49261300690252	-1.61429156349078	-1.41642617213704	-1.1033296442134	-1.45337137530967	1.81505659023295	2.60022184658924	3.24000336696454	0.971872682440134	1.53480518068862
TRINITY_GG_58395_c15_g1	-1.11882453892449	-0.975645979069222	-0.221804612061783	-0.703647843828967	-1.7818668884597	-1.88100376945143	1.16420095187555	0.11938966779797	1.21460214088302	0.957359868593406	1.98640101665513	1.24083998599052
TRINITY_GG_57531_c140_g1	0.768396724442131	-1.16819410538181	2.04996708171335	0.195257351689905	2.61735644635745	2.54638113346982	-1.16819410538181	-1.16819410538181	-1.16819410538181	-1.16819410538181	-1.16819410538181	-1.16819410538181
