male_bleached_K5_03	female_bleached_K5_06	female_bleached_K5_04	male_bleached_K5_02	male_bleached_K5_01	female_bleached_K5_05
TRINITY_DN157459_c1_g3	0.360545875071191	-0.841715108490811	-0.841715108490811	1.42761732124335	0.736982129157892	-0.841715108490811
TRINITY_DN197683_c6_g6	1.6962994144064	-1.56523140083701	-1.56523140083701	-0.0421713390417588	3.04156612714639	-1.56523140083701
TRINITY_DN198203_c2_g2	0.140344787107215	-1.15007961675808	-1.15007961675808	1.31641699579399	1.99347706737305	-1.15007961675808
TRINITY_DN141747_c0_g1	2.54509623915404	-1.03962579235398	-1.03962579235398	0.394935719518627	0.17884541838928	-1.03962579235398
TRINITY_DN157458_c6_g1	2.01019397401327	-0.95457429566078	-0.95457429566078	-0.310256517323203	1.16378543029228	-0.95457429566078
TRINITY_DN162434_c2_g3	0.650889395945561	-0.911291960526306	-0.911291960526306	1.91021418137119	0.172772304262169	-0.911291960526306
TRINITY_DN182474_c7_g1	2.18201920388967	-1.15297804101721	-1.15297804101721	0.0833614981511608	1.19355342101081	-1.15297804101721
TRINITY_DN184327_c1_g1	0.531685559827045	-0.878655544787043	-0.878655544787043	1.27806465486477	0.82621641966931	-0.878655544787043
TRINITY_DN122771_c0_g1	0.117689231478192	-1.07007851556783	-1.07007851556783	2.86103718418995	0.231509131035354	-1.07007851556783
TRINITY_DN178082_c0_g2	0.656070044241666	-0.811209436218317	-0.811209436218317	0.745587810374427	1.03197045403886	-0.811209436218317
TRINITY_DN195285_c3_g2	-1.39342100985308	-0.0226987347049135	2.04992041595015	-1.39342100985308	-1.39342100985308	2.15304134831401
TRINITY_DN173465_c0_g2	1.74718026311578	-0.892746449633015	-0.892746449633015	0.753416207524879	0.177642878258383	-0.892746449633015
TRINITY_DN197499_c3_g1	2.2448669728704	-1.58417071579874	-1.58417071579874	3.50397088107028	-0.996325706544461	-1.58417071579874
TRINITY_DN153078_c1_g1	1.60761214333699	-1.37807043393372	-1.37807043393372	0.892458508447001	1.63414065001716	-1.37807043393372
TRINITY_DN162161_c0_g1	1.65656167390515	-1.80478399851505	-1.57695553588795	-0.934333532336304	4.43942929765003	-1.77991790481586
TRINITY_DN173285_c4_g2	0.121754315851908	-1.03593619773015	-1.03593619773015	1.96298137502821	1.02307290231032	-1.03593619773015
TRINITY_DN182799_c0_g3	2.04276826249366	-0.922184790407142	-0.922184790407142	0.154374304724462	0.569411804003306	-0.922184790407142
TRINITY_DN172480_c5_g2	1.56189589846563	-1.71846659150814	-1.71846659150814	-0.665355255048581	4.25885913110737	-1.71846659150814
TRINITY_DN156825_c7_g1	0.749857617199519	-0.943462061612056	-0.943462061612056	1.83495680485869	0.245571762777962	-0.943462061612056
TRINITY_DN158104_c9_g1	0.179920269545121	-1.09508677795475	-1.09508677795475	0.0677677502357612	3.03757231408337	-1.09508677795475
TRINITY_DN184177_c1_g2	-0.388819087297562	-0.985277226856548	-0.985277226856548	1.23164319900033	2.11300756886688	-0.985277226856548
TRINITY_DN166219_c9_g2	-1.05164227581907	1.22097817884392	1.14402028703685	-1.05164227581907	-1.05164227581907	0.789928361576446
TRINITY_DN175008_c2_g3	0.635630528326144	-0.772537842381963	-0.772537842381963	0.771947543854128	0.910035454965616	-0.772537842381963
TRINITY_DN178887_c4_g2	-0.0726168597649772	-1.03535095036078	-1.03535095036078	0.781862973897546	2.39680673694977	-1.03535095036078
TRINITY_DN168294_c4_g1	0.666306306471163	-0.880649871670249	-0.880649871670249	1.404752347192	0.570890961347584	-0.880649871670249
TRINITY_DN189849_c8_g1	0.448232772421444	-1.26193997585822	-1.26193997585822	2.2265750330996	1.11101212205361	-1.26193997585822
TRINITY_DN158627_c6_g1	2.25436338279859	-1.71428999173766	-1.8159400678321	1.8508165240527	1.24099022055057	-1.8159400678321
TRINITY_DN182188_c4_g1	-1.95904817111886	0.739866338041094	2.51307355984775	-1.51119290378918	-1.76293923787289	1.9802404148921
TRINITY_DN192841_c6_g3	0.901492780421189	-1.47312942577002	-1.41515935713269	-0.375518629143596	3.68488438081975	-1.32256974919464
