bleached_male_K5_01	bleached_male_K5_02	bleached_male_K5_03	bleached_female_K5_04	bleached_female_K5_05	bleached_female_K5_06	bleached_female_44_01	bleached_female_44_02	bleached_female_44_03	non-bleached_female_K5_01	non-bleached_female_K5_02	non-bleached_female_K5_03	non-bleached_female_44_01	non-bleached_female_44_02	non-bleached_female_44_03
TRINITY_DN163470_c3_g1	-0.486672018937287	-0.486672018937287	-0.486672018937287	-0.486672018937287	-0.486672018937287	-0.486672018937287	-0.486672018937287	-0.486672018937287	-0.486672018937287	0.761255494506298	0.285635956021116	0.799026107020838	0.46640693367522	2.5543956981494	-0.486672018937287
TRINITY_DN162514_c5_g1	-1.03487713209194	-0.803444723643979	-1.03487713209194	-1.03487713209194	-1.03487713209194	-0.49584242912119	-0.93322705599751	-1.03487713209194	-0.902629333793505	4.91507794218151	-0.921176632927216	-0.0654963671503364	-0.875247946270717	4.52274739184035	0.733624815342315
TRINITY_DN168265_c3_g1	-0.497512388679593	-0.497512388679593	-0.497512388679593	-0.497512388679593	-0.497512388679593	-0.497512388679593	-0.497512388679593	-0.497512388679593	-0.497512388679593	1.49887635776803	-0.497512388679593	1.34405824871592	1.11035051415164	0.707880124310092	0.313958641850243
TRINITY_DN158844_c10_g2	-0.77429499362723	-0.77429499362723	-0.77429499362723	-0.77429499362723	-0.77429499362723	-0.77429499362723	-0.77429499362723	-0.77429499362723	-0.77429499362723	5.44423433913392	0.432348230356165	-0.042242920326941	-0.77429499362723	2.68290528073638	-0.77429499362723
TRINITY_DN164448_c0_g2	-1.34085679211224	-0.970800980805639	-1.32943195865544	-1.35752071396773	-1.22694900105419	-0.296926189236778	-0.776431222393782	-1.42077227019387	-0.671733843727089	6.09813337865458	-0.823736937172139	7.10620087152399	-0.625980248561473	-0.843463342016149	-1.51973075028204
TRINITY_DN199707_c7_g2	-0.809481269466811	-0.809481269466811	-0.809481269466811	-0.809481269466811	-0.809481269466811	-0.809481269466811	-0.809481269466811	-0.809481269466811	-0.809481269466811	5.99097863842089	-0.809481269466811	-0.809481269466811	0.642586960757	1.89561195026808	0.375116414688949
TRINITY_DN180114_c2_g1	-0.487211956407442	-0.487211956407442	-0.487211956407442	-0.487211956407442	-0.487211956407442	-0.487211956407442	-0.487211956407442	-0.487211956407442	-0.487211956407442	2.48272131829041	-0.0499842174945325	-0.487211956407442	0.0676224394867503	1.84105007220197	0.53070995158982
TRINITY_DN128047_c0_g1	-1.02457319873539	-1.02457319873539	-1.02457319873539	-1.02457319873539	-1.02457319873539	-1.02457319873539	-0.933719768284281	-1.02457319873539	-1.02457319873539	3.89952668690535	-1.02457319873539	-0.954183870843996	3.9794337272949	-1.02457319873539	4.25467521228198
TRINITY_DN198001_c7_g1	-1.60735183769568	-0.447123976988901	-2.02639404472543	-2.1422054901188	-0.564503674279236	-0.963615627549359	-0.154753115419661	-0.47661272090347	-0.0420181437234586	1.44121716957122	1.33927787296405	0.665925199576408	2.36568465168791	1.24669359062996	1.36578014697445
TRINITY_DN164448_c0_g3	-1.0676698916897	-1.0676698916897	-0.435401676190188	-0.809452502153683	-0.904171159406822	-1.0676698916897	-0.304683326809125	-0.305533721788589	-0.458860649014178	8.09221405600421	-0.871062847594884	0.166218168484576	0.659161325342792	-0.699180891044598	-0.926237100760406
TRINITY_DN191336_c0_g4	-0.806513920924668	-0.0264127840406969	-0.957714019454842	-1.16451780666984	-0.869846476240779	-1.04639586799434	-1.16055254066223	-1.28884594167204	-0.74386605841624	6.66855215581747	-1.19799251122093	-1.09854715004545	1.94274006752569	2.67138773002241	-0.921474876023515
TRINITY_DN190104_c1_g1	-0.614594882295689	-1.13378961286582	-1.39132384032253	-1.14596432681193	-0.941144534923429	-1.25801855910543	-0.826260897039079	-1.3587559778661	-1.19571736200903	5.99734223166708	-0.931532940139138	7.89580027404339	-0.918183386480118	-0.935369897296794	-1.24248628855538
TRINITY_DN182682_c1_g4	-0.525775807342313	-0.525775807342313	-0.525775807342313	-0.525775807342313	-0.525775807342313	-0.525775807342313	-0.525775807342313	-0.525775807342313	-0.525775807342313	2.3351869905158	-0.525775807342313	0.0990269579106339	1.42282504015104	1.08492425479245	0.315794830053204
TRINITY_DN158971_c4_g3	-1.18174571709756	0.0617801323595057	-0.442213049227556	-1.07290477980383	-0.408748933302782	-0.927947684173851	-0.807093289299466	-0.881302488347668	-0.576795669877671	5.79115353457531	-0.774759890916062	-0.190120393675688	-0.822033309323414	2.39914288543062	-0.166411347319884
TRINITY_DN166916_c3_g1	-0.770061007911314	-0.770061007911314	-0.719037004886847	-0.587368710395124	-0.770061007911314	-0.770061007911314	-0.770061007911314	-0.648382451323062	-0.726016675205293	-0.26518641851285	2.61688785692446	0.566222379953118	3.13538617082754	1.24786090008595	-0.770061007911314
TRINITY_DN166638_c3_g2	-1.58849208692239	-1.22051662451559	-0.569728010257901	-0.461996887349039	-1.33033990246834	-0.0645063696519026	-1.71579641119746	-0.934533493609698	-1.28619279878396	-1.29909624601961	-1.4436960706061	-1.65201330673082	8.14227493311338	6.55103766083888	-1.12640438583945
TRINITY_DN190987_c3_g3	-0.53207059845226	-0.53207059845226	-0.53207059845226	-0.53207059845226	-0.53207059845226	-0.53207059845226	-0.53207059845226	-0.53207059845226	-0.53207059845226	0.40074650428959	0.721918667778526	1.77273245733316	0.165703221102925	0.140581030876124	1.58695350469001
TRINITY_DN162482_c3_g1	-0.440674456978495	-0.440674456978495	-0.440674456978495	-0.440674456978495	-0.440674456978495	-0.440674456978495	-0.440674456978495	-0.440674456978495	-0.440674456978495	0.83075121911444	-0.440674456978495	0.358412849095509	2.0986084515913	0.507926390514861	0.611045659468833
TRINITY_DN155619_c4_g6	-1.12257147145706	-1.32435720325592	-1.34547019040912	0.573422341652842	-0.974522219536288	-1.63353339073444	-0.790353500477264	-0.621322306783563	-1.54267996028332	8.70999657575723	-1.3442891055778	-0.704499912088581	-1.0630704597084	3.50528107816784	-0.322030275266168
TRINITY_DN137177_c2_g1	-0.798657534167253	-0.798657534167253	-0.798657534167253	-0.798657534167253	-0.798657534167253	-0.798657534167253	-0.798657534167253	-0.798657534167253	-0.798657534167253	-0.798657534167253	1.38371695410855	2.76034473202227	1.1303759444786	1.88458976227733	0.827547948785784
TRINITY_DN160762_c3_g7	-0.596767420624941	-0.596767420624941	-0.596767420624941	-0.596767420624941	-0.596767420624941	-0.596767420624941	-0.596767420624941	-0.596767420624941	-0.596767420624941	0.594163438937673	-0.596767420624941	1.61050075248709	0.867900846378503	1.21716764985638	1.67794151858977
TRINITY_DN191136_c0_g2	-0.476228566043587	-0.476228566043587	-0.476228566043587	-0.476228566043587	-0.476228566043587	-0.476228566043587	-0.476228566043587	-0.476228566043587	-0.476228566043587	2.44368352263372	0.225098691369354	1.05733478217093	0.394037504352396	0.642131159909471	-0.476228566043587
TRINITY_DN202421_c0_g1	-0.323305040064966	-0.323305040064966	-0.323305040064966	-0.323305040064966	-0.323305040064966	-0.323305040064966	-0.323305040064966	-0.323305040064966	-0.323305040064966	-0.323305040064966	0.607243079182889	0.213742479339692	1.67489046308829	0.329296177531554	0.407878201507235
