B_female_44_01	B_female_44_02	B_female_44_03	B_female_K5_01	B_female_K5_02	B_female_K5_03	NB_female_44_01	NB_female_44_02	NB_female_44_03	NB_female_k5_01	NB_female_k5_02	NB_female_k5_03
TRINITY_DN155911_c1_g1	1.31540573133552	0.983988588563048	1.90521030755648	-0.26519817078074	-0.672278946231241	0.766546166944384	-0.672278946231241	-0.672278946231241	-0.672278946231241	-0.672278946231241	-0.672278946231241	-0.672278946231241
TRINITY_DN187661_c1_g2	-1.39757989816507	-0.979057025219955	-1.16426167903341	-0.647315651983068	-1.31522852277184	-1.52574169788958	2.66825629364138	3.70519661779482	-1.1332167378824	4.14278984346749	-1.31617053719701	-1.03767100476138
TRINITY_DN182656_c1_g2	-1.16798201718452	-1.16798201718452	-1.16798201718452	-1.16798201718452	-1.16798201718452	-1.16798201718452	3.4704973399172	1.36283785272899	2.38057790951073	-1.16798201718452	2.12994303531928	-1.16798201718452
TRINITY_DN181757_c5_g1	-0.856296944667458	-1.3127292968074	-1.5303454565189	-1.23008995576892	-1.04739323551437	-1.65149994146973	2.48234729547177	3.63428145774115	-1.22208052483821	5.44846424163753	-1.524177447804	-1.19048019146146
TRINITY_DN173876_c2_g2	-1.53603701758639	-1.01431031815759	-1.769014189564	-0.802238702498863	-1.28677799039726	-1.58647478122546	1.40448694785596	3.98173595662113	-1.34102103518124	6.38110820109635	-1.80287299358004	-0.628584077382602
TRINITY_DN193946_c1_g1	-0.982047628223829	-0.982047628223829	-0.982047628223829	-0.982047628223829	-0.982047628223829	-0.982047628223829	1.38839567659747	2.20334322492266	-0.356309566315181	4.11417205001791	-0.645192989098364	-0.812122626781517
TRINITY_DN175683_c12_g4	-1.09487360216174	-1.09487360216174	-0.90964134793158	-0.985178737335811	-1.09487360216174	-1.09487360216174	-0.346412369157705	3.45676545457265	-0.878263533419299	5.2827360547976	-1.0135339747098	-0.226977138169086
TRINITY_DN182081_c1_g6	-0.918399430275978	-1.20646263060129	-1.03269556286459	-1.00608383261727	-0.865046106122572	-1.0237703330851	1.55013371990042	2.80297412500679	-0.822412823806135	4.49854762238053	-1.05720326510167	-0.919581482813133
TRINITY_DN169264_c2_g5	-1.27810390053546	-1.03826444835429	-0.9990520973643	-1.05590871688349	-1.0535436425163	-1.18197765702039	1.26080252634637	2.73760057553655	-0.444753769944913	4.56010481104826	-0.810537350115666	-0.696366330196355
TRINITY_DN180888_c4_g3	-1.81165902610257	-1.38317111467354	-2.37784947440534	-1.3806852395265	-0.325685620012779	-1.40105303722046	2.00689348613301	4.2563779351264	-0.664663340488534	6.84560373864775	-2.22414759355072	-1.53996071392672
TRINITY_DN167962_c1_g1	-1.24436205312976	-1.24436205312976	-1.24436205312976	-1.24436205312976	-1.24436205312976	-1.24436205312976	-0.146077257406336	2.940473627514	-1.24436205312976	-1.24436205312976	3.51958060731749	3.64091944761291
TRINITY_DN131820_c1_g1	-0.671045500051719	-0.671045500051719	-0.671045500051719	-0.671045500051719	-0.671045500051719	-0.671045500051719	1.31809350731651	1.45988536977473	-0.359542384583449	2.60306703773206	-0.550693559686497	-0.444536970243039
TRINITY_DN191911_c5_g2	-1.08484094928122	-2.8824318242478	-2.13415773954241	-3.02939797541201	-3.25162924678561	-3.60664551100516	6.03448321194802	6.34626314314802	-2.00304883614495	8.79091441831509	-1.55945614729271	-1.62005254369926
TRINITY_DN152041_c1_g1	-1.09952713242857	-1.09952713242857	-1.09952713242857	-1.09952713242857	-1.09952713242857	-1.09952713242857	1.98708681498093	3.17689508882255	-0.703367643355415	3.61576224391623	-1.09952713242857	-0.379686577364302
TRINITY_DN178427_c1_g9	-0.810159726856612	-0.810159726856612	-0.810159726856612	-0.810159726856612	-0.810159726856612	-0.810159726856612	2.39726464124727	0.0843670434007822	-0.810159726856612	1.39491993889323	0.619590123943604	1.1749763405114
