b_44_01	b_44_02	b_44_03	b_k4_01	b_k4_02	b_k4_03	bleached_44_01	bleached_44_02	bleached_44_03	bleached_k4_01	bleached_k4_02	bleached_k4_03	nb_44_04	nb_44_05	nb_44_06	nb_k4_04	nb_k4_05	nb_k4_06	non-bleached_44_01	non-bleached_44_02	non-bleached_44_03	non-bleached_k4_01	non-bleached_k4_02	non-bleached_k4_03
bleached_k4_02	0.998760504114641	0.0712705321429091	0.647144612403295	-0.0915727308003998	0.999997386367889	0.911896876463351	0.998760504114641	0.0714331279777267	0.647144612403295	-0.0880670769156953	1	0.912874735188409	-0.444575956594263	-0.106426899478632	0.506216512113115	0.589015994771897	-0.0964881260932478	-0.721704587593798	-0.444521014323419	-0.106307729037367	0.506192238649665	0.586643472804338	-0.096572566494075	-0.721714381330281
bleached_k4_03	0.891423486090686	0.00919354263549194	0.715656555048548	0.0024029598807901	0.911938982652569	0.99999714651673	0.891423486090686	0.00933870796032528	0.715656555048548	0.00604387568460735	0.912874735188409	1	-0.656402333948279	0.250836147778316	0.649408347234973	0.302091496264272	-0.144193508527968	-0.702507391905125	-0.656352023409354	0.250982192662283	0.649383786514871	0.298766873382123	-0.144291425279762	-0.702587024622009
nb_44_04	-0.413475720198239	0.69088135077496	-0.0241603840045961	-0.72097671141889	-0.443171549111698	-0.657305361501645	-0.413475720198239	0.690805667230184	-0.0241603840045961	-0.723288783072268	-0.444575956594263	-0.656402333948279	1	-0.740538570984002	-0.965317585668209	0.0762120318731842	0.770249747807754	0.00806986136768119	0.999999996214146	-0.740585491205416	-0.965289888950938	0.079024232490279	0.770308016870913	0.00820839137313364
nb_44_05	-0.148723230469966	-0.479198253823381	-0.0589589576704926	0.609907752444509	-0.108375519290242	0.252798166675978	-0.148723230469966	-0.4792177579258	-0.0589589576704926	0.610338803147662	-0.106426899478632	0.250836147778316	-0.740538570984002	1	0.560768806254895	-0.721046989826048	-0.499792178876033	0.334019611079607	-0.740576878307291	0.999999980597705	0.560711776033797	-0.723087080391085	-0.499808371845726	0.333855001615997
nb_44_06	0.482753255315536	-0.741460064896052	-0.0371991744904374	0.714448455012073	0.505166249848927	0.649913327181556	0.482753255315536	-0.741372128973019	-0.0371991744904374	0.716925555202647	0.506216512113115	0.649408347234973	-0.965317585668209	0.560768806254895	1	0.162370568947747	-0.809164739630849	-0.0781322647192951	-0.965305129546348	0.560820892928365	0.999999988469936	0.15976448626763	-0.809226904525485	-0.0782462862955531
nb_k4_04	0.617011871542546	0.0205185426977267	0.133628682532446	-0.201063317362541	0.590333952779955	0.300257601564493	0.617011871542546	0.0206202352649416	0.133628682532446	-0.19930554532367	0.589015994771897	0.302091496264272	0.0762120318731842	-0.721046989826048	0.162370568947747	1	-0.0144212154356328	-0.553693970559195	0.0762748300587873	-0.720983795324526	0.162443025731892	0.999993061025012	-0.0144623383637581	-0.55359959541377
nb_k4_05	-0.0895271629674036	0.979553815510761	0.579376877588096	-0.973474863119071	-0.0961736227596026	-0.144398742710357	-0.0895271629674036	0.979526641587119	0.579376877588096	-0.974111205460857	-0.0964881260932478	-0.144193508527968	0.770249747807754	-0.499792178876033	-0.809164739630849	-0.0144212154356328	1	-0.479319807480711	0.770280399473823	-0.499724337321812	-0.809144797027056	-0.0137694014843076	0.999999994294717	-0.479252972034019
nb_k4_06	-0.715484233202175	-0.555701207256841	-0.866521744686415	0.637569410210497	-0.721458065957968	-0.702034885703343	-0.715484233202175	-0.555810949182272	-0.866521744686415	0.634804501622776	-0.721704587593798	-0.702507391905125	0.00806986136768119	0.334019611079607	-0.0781322647192951	-0.553693970559195	-0.479319807480711	1	0.0079879990377117	0.333837867674196	-0.0781796886931405	-0.551533165359277	-0.479230374617272	0.999999984042651
non-bleached_44_01	-0.413420864941869	0.690914663359298	-0.0241038991152664	-0.721023192918604	-0.443116607853237	-0.657255103860258	-0.413420864941869	0.69083898836187	-0.0241038991152664	-0.723335045918851	-0.444521014323419	-0.656352023409354	0.999999996214146	-0.740576878307291	-0.965305129546348	0.0762748300587873	0.770280399473823	0.0079879990377117	1	-0.740623783600574	-0.965277425099676	0.0790868756863942	0.770338661163773	0.00812653018013648
non-bleached_44_02	-0.148608750269973	-0.479120588361285	-0.0587962021916223	0.609816393116467	-0.1082565578169	0.252944293947137	-0.148608750269973	-0.479140074878878	-0.0587962021916223	0.610247993821584	-0.106307729037367	0.250982192662283	-0.740585491205416	0.999999980597705	0.560820892928365	-0.720983795324526	-0.499724337321812	0.333837867674196	-0.740623783600574	1	0.560763873827087	-0.723024462612737	-0.499740549750238	0.333673245498163
non-bleached_44_03	0.482729304810114	-0.741461061285155	-0.0372167336802487	0.714416680668481	0.505141989901655	0.649888777372537	0.482729304810114	-0.741373129260905	-0.0372167336802487	0.716893768613662	0.506192238649665	0.649383786514871	-0.965289888950938	0.560711776033797	0.999999988469936	0.162443025731892	-0.809144797027056	-0.0781796886931405	-0.965277425099676	0.560763873827087	1	0.159836952932146	-0.809206965479832	-0.0782937078095731
non-bleached_k4_01	0.61478357623395	0.0208197707192741	0.131282766750667	-0.201428350370462	0.5879679268374	0.296929111711251	0.61478357623395	0.0209210991567619	0.131282766750667	-0.199682204778327	0.586643472804338	0.298766873382123	0.079024232490279	-0.723087080391085	0.15976448626763	0.999993061025012	-0.0137694014843076	-0.551533165359277	0.0790868756863942	-0.723024462612737	0.159836952932146	1	-0.0138101631650469	-0.551438275423553
non-bleached_k4_02	-0.0896089586417044	0.979543959631311	0.579298971925401	-0.973458849510607	-0.0962579462645465	-0.144496688121655	-0.0896089586417044	0.979516772526803	0.579298971925401	-0.974095561474355	-0.096572566494075	-0.144291425279762	0.770308016870913	-0.499808371845726	-0.809226904525485	-0.0144623383637581	0.999999994294717	-0.479230374617272	0.770338661163773	-0.499740549750238	-0.809206965479832	-0.0138101631650469	1	-0.479163530284982
non-bleached_k4_03	-0.715485395747711	-0.555636660237236	-0.866551695436876	0.637492188782478	-0.721467463761561	-0.702114886274758	-0.715485395747711	-0.555746402910811	-0.866551695436876	0.634727054205482	-0.721714381330281	-0.702587024622009	0.00820839137313364	0.333855001615997	-0.0782462862955531	-0.55359959541377	-0.479252972034019	0.999999984042651	0.00812653018013648	0.333673245498163	-0.0782937078095731	-0.551438275423553	-0.479163530284982	1
