b_44_01	b_44_02	b_44_03	b_k4_01	b_k4_02	b_k4_03	bleached_44_01	bleached_44_02	bleached_44_03	bleached_k4_01	bleached_k4_02	bleached_k4_03	nb_44_04	nb_44_05	nb_44_06	nb_k4_04	nb_k4_05	nb_k4_06	non-bleached_44_01	non-bleached_44_02	non-bleached_44_03	non-bleached_k4_01	non-bleached_k4_02	non-bleached_k4_03
nb_44_05	-0.156273218058427	-0.0267049486471562	-0.0503584398042141	-0.226726397107659	-0.25000985879927	-0.293035117824676	-0.156304003408023	-0.0266869452128949	-0.0498896619482112	-0.226847015032042	-0.250039384903133	-0.293133396061166	-0.0818953224044592	1	-0.0456924468564808	-0.27515551891525	-0.00161484758052704	0.155601874722773	-0.0818892796696202	0.999999974214212	-0.0457008594098238	-0.275481656763911	-0.00162048995046525	0.155579310334891
nb_44_06	-0.0552866083789856	-0.390511382996347	-0.277098947428434	-0.405387884498933	-0.365161751827559	-0.106749969342064	-0.054952754071607	-0.390481985940708	-0.276956191812169	-0.405376254092624	-0.365178844676945	-0.106858599305533	-0.167258815206475	-0.0456924468564808	1	0.436611153466236	-0.273910298241684	-0.153587721813502	-0.167298374645966	-0.04569796384335	0.999999932238732	0.436251601516661	-0.273901497412473	-0.153557654653549
nb_k4_04	-0.0570383600004117	-0.308079262849954	-0.225480276744457	-0.180438911415789	-0.121216006292076	-0.0179438605596393	-0.0571713641036093	-0.30808696040135	-0.22529235597036	-0.1804278036818	-0.121499535142662	-0.0179609664962994	-0.32901342312249	-0.27515551891525	0.436611153466236	1	-0.380075749254471	-0.272190517584281	-0.32902738313257	-0.27515339785767	0.436594344239878	0.999999101781611	-0.380087641087474	-0.272222193106723
nb_k4_05	-0.338974796761746	-0.35581006095023	-0.403538000541466	-0.187035337828636	-0.263087737751756	-0.369770272255425	-0.338960700254735	-0.355855912241619	-0.403427353729076	-0.18703593778777	-0.263302900153318	-0.369830686126212	0.532160414499586	-0.00161484758052704	-0.273910298241684	-0.380075749254471	1	0.217930077312251	0.532127999535918	-0.00164356952597091	-0.273976693350674	-0.380084357870068	0.999999987183931	0.217930792388492
nb_k4_06	-0.19513727942013	-0.201603587089032	-0.295725133620189	0.0131871714418595	-0.011455219938673	-0.139682058738533	-0.195163199621808	-0.201618555779828	-0.295672475322294	0.0131851856049755	-0.0116538087120052	-0.13969685069804	-0.0789996450426085	0.155601874722773	-0.153587721813502	-0.272190517584281	0.217930077312251	1	-0.0790184103645645	0.155595039780883	-0.153666024132338	-0.272122747532168	0.217966894182101	0.999999972264528
non-bleached_44_01	-0.101042780548823	-0.165232661926733	-0.262754776264374	-0.379093541986738	-0.349292687596861	-0.500023824205951	-0.100760525898315	-0.165207232327473	-0.262546067948943	-0.379073155387907	-0.349446516335954	-0.50000609651834	0.999999947487739	-0.0818892796696202	-0.167298374645966	-0.32902738313257	0.532127999535918	-0.0790184103645645	1	-0.0818786607118789	-0.167198084873405	-0.328833383080434	0.532137714538337	-0.07896467633622
non-bleached_44_02	-0.156251369077985	-0.0267036226949808	-0.0503618618380607	-0.226722287395937	-0.249992953849487	-0.29302566399508	-0.156282149899595	-0.0266855807879401	-0.0498931727058297	-0.226842878080158	-0.250022450335329	-0.293123940185876	-0.0818847223166286	0.999999974214212	-0.04569796384335	-0.27515339785767	-0.00164356952597091	0.155595039780883	-0.0818786607118789	1	-0.0457063877179802	-0.275479527548386	-0.00164922049547833	0.155572474630673
non-bleached_44_03	-0.055268270770884	-0.390498864415824	-0.277086232802053	-0.405379445800996	-0.365150299003983	-0.106732029165045	-0.054934416486804	-0.390469471038151	-0.276943458327221	-0.405367800595276	-0.365167401957641	-0.106840654653642	-0.167158524332463	-0.0457008594098238	0.999999932238732	0.436594344239878	-0.273976693350674	-0.153666024132338	-0.167198084873405	-0.0457063877179802	1	0.436234705345725	-0.273967878135781	-0.153635951699311
non-bleached_k4_01	-0.05701397618673	-0.30795935621256	-0.22537394488132	-0.180290237371005	-0.121076017639718	-0.0177774330088932	-0.057146912106467	-0.307967157621063	-0.225186237957843	-0.180279118643418	-0.121359406019298	-0.0177943388337763	-0.328819386687283	-0.275481656763911	0.436251601516661	0.999999101781611	-0.380084357870068	-0.272122747532168	-0.328833383080434	-0.275479527548386	0.436234705345725	1	-0.380096367302608	-0.272154365494371
non-bleached_k4_02	-0.338979400111083	-0.355818536794404	-0.403548415941094	-0.187040336528841	-0.263093491223611	-0.369777184907759	-0.338965306180915	-0.355864390668674	-0.403437755933107	-0.187040949638377	-0.263308670026565	-0.369837597949283	0.53217013402063	-0.00162048995046525	-0.273901497412473	-0.380087641087474	0.999999987183931	0.217966894182101	0.532137714538337	-0.00164922049547833	-0.273967878135781	-0.380096367302608	1	0.217967608304895
non-bleached_k4_03	-0.195126056733597	-0.201567157843625	-0.295704806348821	0.0131302241729157	-0.0115181619291527	-0.139685578478392	-0.19515197112998	-0.201582130449667	-0.295652159692362	0.0131282691114641	-0.011716680366668	-0.139700347778158	-0.078945915872199	0.155579310334891	-0.153557654653549	-0.272222193106723	0.217930792388492	0.999999972264528	-0.07896467633622	0.155572474630673	-0.153635951699311	-0.272154365494371	0.217967608304895	1
