B_female_44_01	B_female_44_02	B_female_44_03	B_female_K5_01	B_female_K5_02	B_female_K5_03	B_male_K5_01	B_male_K5_02	B_male_K5_03
TRINITY_DN177614_c1_g1	-0.54333245065138	-0.54333245065138	-0.54333245065138	-0.54333245065138	-0.54333245065138	-0.54333245065138	2.32436637034612	1.04066793263439	-0.105039599072233
TRINITY_DN22880_c0_g1	-0.557846643894693	-0.557846643894693	-0.557846643894693	-0.557846643894693	-0.557846643894693	-0.557846643894693	0.480589537761415	2.1145786980768	0.751911627529942
TRINITY_DN195078_c0_g3	-0.351786398581367	-0.674462456005602	-0.884851320451005	-0.578005820136722	-0.884851320451005	-0.884851320451005	-0.169397193335287	4.34073210830585	0.0874737211061465
TRINITY_DN195492_c0_g1	-0.794144333881	-0.794144333881	-0.794144333881	-0.794144333881	-0.794144333881	-0.794144333881	-0.794144333881	5.02030354897585	0.538706788191154
TRINITY_DN180100_c1_g1	-0.781670687389078	-0.781670687389078	-0.781670687389078	-0.781670687389078	-0.781670687389078	-0.781670687389078	1.12906197451383	2.06732774301094	1.49363440680969
TRINITY_DN53786_c0_g1	-0.58346613198504	-0.58346613198504	-0.58346613198504	-0.58346613198504	-0.58346613198504	-0.58346613198504	1.17013840429495	1.83688152066787	0.49377686694742
TRINITY_DN180094_c2_g1	-0.672905074237873	-0.672905074237873	-0.672905074237873	-0.672905074237873	-0.672905074237873	-0.672905074237873	1.39128798768962	-0.672905074237873	3.31904753197549
TRINITY_DN168774_c0_g1	0.941680322929316	-2.40510012236681	1.10769306416591	2.91568511439637	2.56780041576307	2.31474241449083	-2.49812248895905	-2.44346841408898	-2.50091030633067
TRINITY_DN195331_c0_g1	-1.3970622464185	-1.3970622464185	-1.3970622464185	-1.3970622464185	-1.3970622464185	-1.3970622464185	3.18374653221939	-1.3970622464185	6.59568919271015
TRINITY_DN193885_c2_g3	-0.638307343825459	-0.638307343825459	-0.638307343825459	-0.638307343825459	-0.638307343825459	-0.638307343825459	0.760043026520506	2.25077675477269	0.819024281659555
TRINITY_DN240354_c0_g1	-0.519253017369705	-0.519253017369705	-0.519253017369705	-0.519253017369705	-0.519253017369705	-0.519253017369705	1.27068485161049	1.76762813041846	0.077205122189281
TRINITY_DN193672_c2_g4	-0.473206050826474	-1.02312160444843	-1.02312160444843	-1.02312160444843	-1.02312160444843	-1.02312160444843	0.612400637011324	4.68977676908109	0.286636666976205
TRINITY_DN179692_c4_g1	-1.43573712033343	-1.43573712033343	-1.38889686613046	-1.43573712033343	-1.43573712033343	-0.926801458469035	2.28858572505455	2.51080660769158	3.25925447318709
TRINITY_DN88447_c0_g1	-0.174352371051273	-0.97304021688282	-0.676297935553282	-1.01085363876839	-1.13782649502616	-0.918735436779963	0.296201179637438	5.08933695597072	-0.494432041546267
TRINITY_DN160680_c4_g2	-0.568584921464464	-0.568584921464464	-0.568584921464464	-0.568584921464464	-0.568584921464464	-0.568584921464464	1.49802096273997	1.16476941914936	0.748719146897451
