bleached_k4_01	bleached_44_01	bleached_k4_02	bleached_44_02	bleached_44_03	bleached_k4_03	non-bleached_k4_01	non-bleached_k4_02	non-bleached_44_01	non-bleached_k4_03	non-bleached_44_02	non-bleached_44_03
TRINITY_DN175776_c4_g2	-0.70044023098893	-0.636937288682772	-0.70044023098893	-0.549880554413549	-0.512672483942905	-0.70044023098893	-0.395929189178977	2.68195035188454	2.56919141995151	-0.604178377930527	-0.670457364773216	0.220234180052688
TRINITY_DN184922_c0_g4	-1.64773997038899	-1.72277068043126	-0.790504856978704	-0.506123271961586	-1.53869326565498	-1.44713623781783	-1.09927694180856	5.22040509596548	4.24374236079165	-0.118413928916795	-1.26788236478068	0.674394061982253
TRINITY_DN177037_c5_g2	-0.651435713686416	-0.651435713686416	-0.651435713686416	-0.651435713686416	-0.651435713686416	-0.651435713686416	-0.651435713686416	3.02245986206039	2.67092512480492	-0.651435713686416	-0.188859825644212	-0.293039451729762
TRINITY_DN174576_c3_g4	-0.353763072056095	-0.353763072056095	-0.353763072056095	-0.353763072056095	-0.353763072056095	-0.353763072056095	-0.353763072056095	1.30113068541723	1.62553063838963	-0.0146256871365092	-0.26969880726762	-0.16599532501007
TRINITY_DN183545_c4_g3	-0.471212977089778	-0.471212977089778	-0.471212977089778	-0.471212977089778	-0.471212977089778	-0.471212977089778	-0.471212977089778	1.79871783301003	2.10772573600361	-0.358846454017215	-0.471212977089778	0.222106701721797
TRINITY_DN176732_c1_g1	-0.651400940077823	-0.651400940077823	-0.651400940077823	-0.651400940077823	-0.651400940077823	-0.651400940077823	-0.480194112659681	1.76408733097188	4.02588177537061	-0.442259542239232	-0.651400940077823	-0.307708870898804
TRINITY_DN179920_c2_g5	-1.11868872851607	-1.11868872851607	-1.11868872851607	-1.11868872851607	-1.11868872851607	-1.11868872851607	-1.11868872851607	4.75369681429713	4.09158323174606	-1.11868872851607	-0.736851644610024	0.841081426695396
TRINITY_DN26012_c0_g1	-0.808326609550945	-0.808326609550945	-0.808326609550945	-0.808326609550945	-0.808326609550945	-0.808326609550945	-0.808326609550945	3.5340859074015	3.05739429087229	-0.808326609550945	-0.739311931635765	0.614444609769529
TRINITY_DN183837_c9_g1	-0.879237844537642	-0.710595808978802	-0.74042337563536	-0.616203438703848	-0.746990046239202	-0.879237844537642	-0.879237844537642	3.56324126093225	3.38567384853682	-0.788384414086528	-0.796535255207392	0.0879307629949861
TRINITY_DN186298_c6_g1	-0.699375210239079	-0.855957630988688	-0.744977796541142	-0.865719741978461	-0.475736400020884	-0.842125357809119	-0.577485791627553	2.66615328643367	3.52832912815838	-0.606421680197151	-0.836629370054267	0.309946564864297
TRINITY_DN183195_c0_g3	-0.825515392507765	-0.755126064616367	-0.741451127719291	-0.825515392507765	-0.667178365340665	-0.654308565089623	-0.740090736255088	3.37101296842918	2.6817718371376	-0.151054740947507	-0.554089716414831	-0.138454704167873
TRINITY_DN171893_c1_g1	-0.859630395239209	-0.859630395239209	-0.859630395239209	-0.859630395239209	-0.859630395239209	-0.859630395239209	-0.368033800828761	3.46532418253805	2.39632346937107	-0.859630395239209	-0.859630395239209	1.38342931083332
TRINITY_DN189446_c1_g1	-0.715532413952023	-0.715532413952023	-0.715532413952023	-0.715532413952023	-0.715532413952023	-0.715532413952023	-0.715532413952023	2.36665921555674	2.94382134521803	-0.715532413952023	0.00167788506757238	0.41210086577385
TRINITY_DN177687_c2_g1	-1.23678058867442	-0.862714870451881	-0.995550553158973	-0.928769274122241	-0.481465684629321	-0.989460653694599	-1.14728243783532	3.54944982589189	3.95974777226252	-1.128423410584	-1.04521793797366	1.30646781296999
TRINITY_DN172014_c3_g2	-0.865554097812819	-0.817317912159972	-0.827117916156711	-0.865554097812819	-0.865554097812819	-0.413485867589009	-0.807584029175489	2.19432029046859	2.91989183120324	-0.360679508414355	0.0627214637991156	0.645913941463046
