non-bleached_44_01	non-bleached_44_02	non-bleached_44_03	non-bleached_k4_01	non-bleached_k4_02	non-bleached_k4_03
TRINITY_GG_82542_c10_g2	0.163444858863695	0.593897410529226	1.85497030002973	-0.870770856474218	-0.870770856474218	-0.870770856474218
TRINITY_GG_97192_c0_g1	1.7385657452625	2.3834284233843	0.0313204577301738	-1.38443820879232	-1.38443820879232	-1.38443820879232
TRINITY_GG_2302_c1_g1	1.98039227325689	2.11746176922755	1.62617609369646	-1.90801004539363	-1.90801004539363	-1.90801004539363
TRINITY_GG_15780_c70_g1	0.190036650819202	1.06814966642218	1.27646368334849	-0.844883333529957	-0.844883333529957	-0.844883333529957
TRINITY_GG_93075_c10_g1	-1.12354132555849	-1.12354132555849	-1.12354132555849	2.00425701280734	0.201845089101288	1.16452187476683
TRINITY_GG_3333_c2_g1	-0.703596112135511	2.28369501036615	2.19224534271927	-1.25744808031664	-1.25744808031664	-1.25744808031664
TRINITY_GG_7174_c11_g2	0.263922090106917	1.2863840277507	1.37061876677466	-0.973641628210758	-0.973641628210758	-0.973641628210758
TRINITY_GG_49537_c1_g1	-1.04282549634462	-1.04282549634462	-1.04282549634462	1.67350698394337	0.936102280036783	0.518867225053693
TRINITY_GG_12799_c27_g1	1.52510040789673	0.743682790856549	1.07291729482951	-1.1139001645276	-1.1139001645276	-1.1139001645276
TRINITY_GG_29735_c4_g1	0.888289707032418	0.690339641167546	1.72391855280748	-1.10084930033581	-1.10084930033581	-1.10084930033581
TRINITY_GG_104573_c18_g1	-1.0176869294055	-1.0176869294055	-1.0176869294055	1.23932368880053	0.198923139336945	1.61481396007902
TRINITY_GG_13761_c64_g1	-0.810790977193793	-0.810790977193793	-0.810790977193793	1.05868565677161	1.07478338717763	0.298903887632137
TRINITY_GG_24743_c2_g1	1.33508346555152	1.0764546177703	0.228383362737359	-0.879973815353059	-0.879973815353059	-0.879973815353059
TRINITY_GG_40168_c1_g1	1.4047493654743	0.188134814565544	1.28658502042483	-0.959823066821557	-0.959823066821557	-0.959823066821557
TRINITY_GG_98196_c4_g1	0.360897080697693	1.80897869735312	0.662718011856201	-0.944197929969004	-0.944197929969004	-0.944197929969004
TRINITY_GG_75402_c0_g3	1.2735778541291	1.04730826023366	0.218440610097951	-0.846442241486903	-0.846442241486903	-0.846442241486903
TRINITY_GG_4413_c1_g1	-1.11246293144028	-1.11246293144028	-1.11246293144028	1.84878995261793	0.931581401265746	0.55701744043715
