B_female_44_01	B_female_44_02	B_female_44_03	NB_female_44_01	NB_female_44_02	NB_female_44_03
TRINITY_DN154711_c2_g2	1.41656813295867	1.05713219185739	1.79647403877654	-1.42339145453087	-1.42339145453087	-1.42339145453087
TRINITY_DN164152_c3_g4	-1.28820925291759	-1.28820925291759	-1.28820925291759	1.4080071811388	3.42405635358569	-0.967435775971721
TRINITY_DN145562_c1_g1	-0.830104349121256	-0.830104349121256	-0.830104349121256	0.775389984731253	0.279590515704674	1.43533254692784
TRINITY_DN173489_c1_g1	-1.67935541178748	-1.67935541178748	-1.67935541178748	1.82361160753155	3.46085063234228	-0.246396004511376
TRINITY_DN190905_c1_g2	-1.68778859058294	-1.48992319922921	-1.54504841846686	1.82025968798506	3.85910586930469	-0.956605349010743
TRINITY_DN219357_c0_g1	-1.58147934349985	-2.26710781788252	-1.67716535004573	3.25705589472319	2.74738730885876	-0.478690692153853
TRINITY_DN194622_c4_g4	-1.83565613476154	-1.49537872999528	-1.83565613476154	2.07986476599042	0.423465671296142	2.66336056223179
TRINITY_DN161957_c2_g1	0.867553475185501	-0.0533461721644448	2.59393898146303	-1.13604876149469	-1.13604876149469	-1.13604876149469
TRINITY_DN187904_c1_g4	-1.14057830974991	-1.14057830974991	-1.14057830974991	1.29318237221544	2.55719550980528	-0.428642952770987
TRINITY_DN189970_c0_g1	-1.15286317530187	-1.15286317530187	-1.15286317530187	0.812459373065389	2.06607294603381	0.580057206806392
TRINITY_DN157831_c2_g1	-1.92228441983764	-1.61499788520117	-1.52201757526111	2.28429956108511	3.9103365477431	-1.13533622852829
TRINITY_DN160017_c2_g1	-0.952696021832626	1.59388888989764	3.50293042727756	-1.38137443178086	-1.38137443178086	-1.38137443178086
TRINITY_DN52241_c0_g1	-1.2543622752959	-1.2543622752959	-1.2543622752959	1.6542585164515	3.01609191410981	-0.907263604673628
TRINITY_DN162597_c14_g1	-2.23554879657429	-1.84603480563099	-1.69211819199023	2.70671253774721	3.77612091080614	-0.709131654357842
TRINITY_DN197247_c4_g1	-0.911266621404996	-0.911266621404996	-0.911266621404996	1.42787076351459	0.973526641138531	0.332402459561867
TRINITY_DN162067_c5_g2	1.66677742107622	1.07058501665518	0.285687253720715	-1.00768323048404	-1.00768323048404	-1.00768323048404
TRINITY_DN156506_c5_g15	1.30775606029143	1.76488090926009	1.39014894507387	-1.48759530487513	-1.48759530487513	-1.48759530487513
TRINITY_DN183395_c0_g4	-1.13979156981098	-1.13979156981098	-1.13979156981098	1.06246941375103	2.34743749999325	0.00946779568864731
TRINITY_DN244259_c0_g1	-1.10381387722877	-1.10381387722877	-1.10381387722877	0.746585519541481	2.45641194517088	0.108444166973962
TRINITY_DN193556_c4_g1	-2.08952706465806	-2.44751378981252	-2.13929692870285	2.69233834064711	4.8599310340851	-0.875931591558768
TRINITY_DN228286_c0_g1	0.320411090299597	1.05389611573084	0.993544117548561	-0.789283774526333	-0.789283774526333	-0.789283774526333
TRINITY_DN186064_c1_g3	-1.71483570667446	-1.77452405013583	-1.78116324749887	1.96819289623259	4.17980045992597	-0.877470351849399
TRINITY_DN154590_c9_g1	1.08267535430453	0.624664169202532	0.68375171242622	-0.79703041197776	-0.79703041197776	-0.79703041197776
TRINITY_DN237021_c0_g1	-1.0678138769158	-1.0678138769158	-1.0678138769158	1.44264174474596	1.78877349838544	-0.0279736123840082
TRINITY_DN185783_c3_g2	-1.75849974617657	-1.52274087033923	-1.39441677336369	1.35461768383394	3.12873093919104	0.192308766854508
TRINITY_DN165186_c13_g2	-0.990097992257632	-0.990097992257632	-0.990097992257632	1.40688346723424	0.673018875108471	0.890391634430188
TRINITY_DN155992_c7_g1	0.164464836167639	2.0739525432622	1.68565142645548	-1.3080229352951	-1.3080229352951	-1.3080229352951
TRINITY_DN191782_c3_g2	0.859039033239141	1.06188213051893	2.02230359469631	-1.31440825281813	-1.31440825281813	-1.31440825281813
TRINITY_DN175989_c0_g3	-1.23197974275029	-1.23197974275029	-1.23197974275029	1.63907533233634	2.33130043790773	-0.274436541993187
TRINITY_DN170810_c3_g6	-2.77871223516836	-1.63063637155895	-1.96377361719271	2.16280741016522	4.70878181520686	-0.498467001452049
TRINITY_DN199168_c1_g2	1.30787675774741	0.946108398328259	1.87347393360164	-1.3758196965591	-1.3758196965591	-1.3758196965591
TRINITY_DN177916_c0_g5	-1.80446932929572	-1.78427379334177	-1.98716162681191	3.02871055505124	3.94459233422509	-1.39739813982693
TRINITY_DN153367_c1_g2	0.140681060717954	1.53255519111624	1.83574092784839	-1.1696590598942	-1.1696590598942	-1.1696590598942
TRINITY_DN175706_c5_g1	0.826319178184743	0.935484526717081	0.608311851534018	-0.790038518811947	-0.790038518811947	-0.790038518811947
TRINITY_DN184671_c0_g1	-1.376119308755	-1.376119308755	-1.376119308755	1.41777657379388	2.8194645194137	-0.108883166942588
TRINITY_DN153789_c3_g1	-0.849313015529667	-0.849313015529667	-0.849313015529667	0.793619553828819	1.42539592368504	0.328923569075138
