b_F_K5_04	b_F_K5_05	b_F_K5_06	nb_F_K5_07	nb_F_K5_08	nb_F_K5_09
TRINITY_DN199955_c5_g1	-0.884724659605499	-0.92596764183738	-0.883323304428887	0.885092305902699	0.895334398052149	0.913588901916917
TRINITY_DN169567_c0_g1	0.921587139502206	2.18222640250994	-0.0701236522932132	-1.01122996323964	-1.01122996323964	-1.01122996323964
TRINITY_DN162597_c11_g1	4.31772511734173	4.83635294341499	3.02174626817987	-3.41789306657552	-4.38580808873593	-4.37212317362514
TRINITY_DN177514_c3_g4	-2.02105299059504	4.55586365316591	5.38024375773678	-2.63835147343588	-2.63835147343588	-2.63835147343588
TRINITY_DN159839_c4_g1	-0.880548816942765	-0.880548816942765	-0.880548816942765	0.770215742174138	0.679187707490218	1.19224300116394
TRINITY_DN165345_c3_g1	-1.01331944053306	-1.01331944053306	-1.01331944053306	1.20639119901571	0.293526059781218	1.54004106280226
TRINITY_DN166362_c6_g2	0.310272405550866	1.52402364795781	1.13789349793717	-0.990729850481948	-0.990729850481948	-0.990729850481948
TRINITY_DN190860_c6_g3	-0.964724903180921	-0.964724903180921	-0.964724903180921	1.87362183334031	1.22399250602176	-0.203439629819302
TRINITY_DN188820_c4_g3	-0.825622319769894	-0.825622319769894	-0.825622319769894	0.400269541920447	1.40857240318392	0.668025014205316
TRINITY_DN171515_c2_g2	1.07913362649269	1.46346737833031	1.20478420152717	-1.24912840211672	-1.24912840211672	-1.24912840211672
TRINITY_DN193747_c1_g3	-1.2722215298739	-0.906378398944907	-1.3635232917256	1.13757181424362	1.49133423444845	0.913217171852329
TRINITY_DN171866_c4_g1	1.2291547360826	0.786080597493317	0.957361449515396	-0.990865594363771	-0.990865594363771	-0.990865594363771
TRINITY_DN169632_c0_g6	0.207858192171847	0.701306927880192	1.93645015322542	-0.948538424425818	-0.948538424425818	-0.948538424425818
TRINITY_DN161042_c4_g1	-1.51627870418977	-1.51627870418977	-1.51627870418977	2.26361133515028	2.25158792798686	0.0336368494321835
