B_female_44_01	B_female_44_02	B_female_44_03	NB_female_44_01	NB_female_44_02	NB_female_44_03	B_female_K5_01	B_female_K5_02	B_female_K5_03	B_male_K5_01	B_male_K5_02	B_male_K5_03	NB_female_K5_01	NB_female_K5_02	NB_female_K5_03
TRINITY_DN191179_c2_g1	-0.97142691471842	-1.58890592596266	8.38357942209017	1.72223138051253	-1.68683086702464	7.4476957062571	-1.90685782621304	-0.729842198483972	-2.19795851399063	-1.9341370711357	-0.671758499666305	-0.986500417748962	-1.44582276752084	-1.23348120919136	-2.19998429720327
TRINITY_DN167503_c0_g1	0.221731700672528	1.47448987813524	0.831815664941869	1.29245775281353	0.624785508189049	-0.0810962950202911	-0.484909356636881	-0.484909356636881	-0.484909356636881	-0.484909356636881	-0.484909356636881	-0.484909356636881	-0.484909356636881	-0.484909356636881	-0.484909356636881
TRINITY_DN178425_c3_g1	-2.98587338230395	-2.45668284655255	-2.8056904754962	-1.74675006023444	-2.58213035272741	-2.47235945698205	1.62467065094993	1.40587668317279	0.650232357363961	2.11676934067213	2.03339598029772	2.8103538074154	1.00007819566946	0.566630038716855	2.84147952003834
TRINITY_DN161603_c2_g1	1.10538146739787	0.724291300042369	-0.491076672161111	1.87517559153845	1.09292371112466	0.11299465150775	-0.491076672161111	-0.491076672161111	-0.491076672161111	-0.491076672161111	-0.491076672161111	-0.491076672161111	-0.491076672161111	-0.491076672161111	-0.491076672161111
TRINITY_DN171199_c0_g2	-1.39447660265346	-1.39447660265346	-0.867406267140795	-1.39447660265346	-1.39447660265346	-1.39447660265346	0.185668881769925	1.44447516429849	0.974291746436879	1.90798868467895	0.32009863619817	1.2174039644493	0.470254319661296	-0.613746566177079	1.93335444909214
TRINITY_DN171044_c5_g1	-3.36158698208567	-2.61197519354977	-2.54963533311517	-0.906816183069453	-2.36253518786472	-2.96827686884459	1.57017558160594	1.18900307626969	1.14764440845831	1.86480305607653	2.15457895839425	2.70460123870026	1.41223887828822	0.388236205826515	2.32954434490966
TRINITY_DN199792_c3_g3	2.46989479570045	-0.612467173857028	-0.247334580404498	0.665517573442737	1.53059965852104	1.70599429131055	-0.612467173857028	-0.612467173857028	-0.612467173857028	-0.612467173857028	-0.612467173857028	-0.612467173857028	-0.612467173857028	-0.612467173857028	-0.612467173857028
TRINITY_DN184918_c1_g3	-0.657985000385271	3.08078283641492	2.46212560591434	3.40253408348207	-0.531252373091659	-0.795488524135206	-0.725099196243808	-0.795488524135206	-0.795488524135206	-0.719613657160078	-0.795488524135206	-0.795488524135206	-0.795488524135206	-0.743072629984067	-0.795488524135206
TRINITY_DN192687_c6_g2	-3.30562588952267	-2.02074478139063	-2.02617552054745	-1.78294766705586	-2.49769052286223	-2.14385172920122	1.36532452819417	1.54814490308125	0.963322940574697	1.79199084156832	1.88572879006673	2.20281615463099	1.24874677948566	0.498605135412957	2.27235603756528
TRINITY_DN169899_c6_g4	-1.3315055032838	-1.3315055032838	-1.3315055032838	-1.3315055032838	-1.3315055032838	-1.3315055032838	-1.3315055032838	0.516090598978844	2.95137905177725	3.10238868120706	1.97868917702974	0.858793288342799	-1.3315055032838	1.43020528107955	-0.185502052144872
TRINITY_DN149611_c0_g1	0.606712583472599	0.336165727568424	7.61219453525631	0.659377402975839	-1.42537392903581	3.37505654712761	-1.80757445375306	-1.2023835489554	0.0939223381176895	-1.64958167612419	-1.46441394169641	-1.59299814775782	-1.24460468137396	-1.95449379399595	-0.34200496182587
